measurement_id,oligo_id,study_type,species,system_model,tissue,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,nephrotox_grade,is_kidney_specific,source_id,source_ref,source_table,redistribution,notes
MSR001,OLG001,clinical,human,patient_cohort,kidney,systemic_dose,284,mg,weekly,clinical_renal_outcome,crescentic_glomerulonephritis,3,pct_incidence,increase,3pct_vs_0pct_placebo,3,TRUE,A1,NEJM2018_NEJMoa1716793;FDA_label_211172,NEURO-TTR;label_sec5.2,public_domain,all_cases_V30M_carriers;grade_provisional
MSR002,OLG001,clinical,human,patient_cohort,kidney,systemic_dose,284,mg,weekly,functional,UPCR_proteinuria_gt5xULN,15,pct_incidence,increase,15pct_vs_8pct_placebo,2,TRUE,A1,FDA_label_211172,label_sec5.2,public_domain,grade_provisional
MSR003,OLG001,clinical,human,patient_cohort,kidney,systemic_dose,284,mg,weekly,functional,serum_creatinine_rise_gt0.5mgdL,11,pct_incidence,increase,11pct_vs_2pct_placebo,2,TRUE,A1,FDA_label_211172,label_sec5.2,public_domain,grade_provisional
MSR004,OLG001,clinical,human,case_report,kidney,systemic_dose,284,mg,chronic,histopathology,focal_segmental_glomerulosclerosis,TBD,NA,increase,single_biopsy_confirmed_case,3,TRUE,A2,AJKD2022_S0272-6386_22_00929-5,case_report,summary_stat,grade_provisional
MSR005,OLG002,clinical,human,healthy_volunteer,proximal_tubule,systemic_dose,5,mg,4_weekly_doses,clinical_renal_outcome,acute_tubular_necrosis_AKI,TBD,NA,increase,biopsy_confirmed,3,TRUE,A3,vanPoelgeest2013_10.1111_bcp.12738,case_biopsy,summary_stat,tubular_necrosis_plus_ASO_accumulation;recovered_44d;grade_provisional
MSR006,OLG002,clinical,human,healthy_volunteer,proximal_tubule,systemic_dose,5,mg,4_weekly_doses,injury_biomarker,KIM-1_urinary,TBD,NA,increase,elevated_after_4_doses,2,TRUE,A3,vanPoelgeest2013_10.1111_bcp.12738,results,summary_stat,grade_provisional
MSR007,OLG002,clinical,human,healthy_volunteer,proximal_tubule,systemic_dose,5,mg,4_weekly_doses,injury_biomarker,beta2_microglobulin_urinary,TBD,NA,increase,elevated;also_alpha-GST,2,TRUE,A3,vanPoelgeest2013_10.1111_bcp.12738,results,summary_stat,grade_provisional
MSR008,OLG002,in_vitro,human,proximal_tubule_on_chip,proximal_tubule,gymnotic_free_uptake,TBD,uM,TBD,injury_biomarker,KIM-1,2.5,fold_change,increase,2.5fold_perfusate,2,TRUE,A4,ArchToxicol2021_10.1007_s00204-021-03062-8,results,summary_stat,in_vitro_model_recapitulates_clinical_nephrotox;grade_provisional
MSR009,OLG003,clinical,human,patient_cohort,kidney,systemic_dose,2.5,mg/kg,monthly,functional,eGFR_decrease_creatinine_rise,15,pct_incidence,increase,15pct_vs_7pct_placebo;median_plus0.07mgdL,1,TRUE,A5,NEJM2019_NEJMoa1913147;FDA_label_Givlaari,ENVISION;label,public_domain,porphyria_baseline_CKD_confounder;grade_provisional
MSR010,OLG003,clinical,human,patient_cohort,kidney,systemic_dose,2.5,mg/kg,monthly_24mo,clinical_renal_outcome,CKD_onset_or_worsening,5,patients,increase,5_givosiran_patients,2,TRUE,A6,LiverInt2022_10.1111_liv.15090,ENVISION_24mo,summary_stat,grade_provisional
