measurement_id,oligo_id,oligo_name,source_id,study_type,species,strain,system_model,is_human_system,indication_population,arm_label,arm_description,arm_role,cns_compartment,delivery_route,dose_value,dose_unit,dose_regimen,exposure_duration,timepoint,endpoint_tier,readout_category,readout_name,readout_term_verbatim,readout_value,readout_unit,readout_is_qualitative,n_affected,n_at_risk,comparator_arm,n_affected_comparator,n_at_risk_comparator,statistic,effect_direction,effect_vs_control,seriousness,assessment_type,organ_system,source_vocabulary,hydroceph_grade,grade_basis,grade_status,ascertainment,ascertainment_basis,attribution_as_stated,attribution_evidence,tox_axis,event_cluster_id,source_ref,source_location,redistribution,notes
HYD-MSR-00001,HYD-OLG-0005,defibrotide,NCT00628498,clinical_trial,human,NOT_APPLICABLE,Defibrotide for Patients With Hepatic Veno-occlusive Disease: A Treatment IND St — arm 'Defibrotide',TRUE,Hepatic Veno-Occlusive Disease,Defibrotide,Defibrotide 25 mg/kg day given in 4 divided doses approximately every 6 hours,exposed,NOT_APPLICABLE,intravenous,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A,hydrocephalus_event,hydrocephalus_AE,Hydrocephalus,3,participants,FALSE,3,1154,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,serious,NOT_REPORTED,Nervous system disorders,NOT_REPORTED,3,"3 = serious adverse event coded to a MedDRA hydrocephalus term (SCHEMA.md rubric grade 3, clause 'a serious adverse event coded as hydrocephalus'). Seriousness is the registry's own classification, not a clinical judgement made here.",provisional,measured_positive,Count read from the posted serious-adverse-event table; module frequencyThreshold=5.,not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=NOT_REPORTED. Attribution must be read from the concurrent comparator arm, not from this field.",ventricular_enlargement,NOT_APPLICABLE,NCT00628498,resultsSection.adverseEventsModule.seriousEvents[term='Hydrocephalus'].stats[groupId='EG000'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=1154."
HYD-MSR-00002,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 3 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 3 mg,"3 mg nusinersen on Days 1, 29, 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,0,participants,FALSE,0,8,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,0,0 = endpoint term is listed in this trial's posted adverse-event table with an explicitly reported count of 0 in this arm (SCHEMA.md rubric grade 0; ascertainment = measured_null),provisional,measured_null,"The term is listed in this trial's posted serious-adverse-event table with an explicit count of 0 for this arm. The module declares frequencyThreshold=0, which governs the other-events table only.",not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.seriousEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG000'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=8."
HYD-MSR-00003,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 6 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 6 mg,"6 mg nusinersen on Days 1, 29, 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,0,participants,FALSE,0,8,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,0,0 = endpoint term is listed in this trial's posted adverse-event table with an explicitly reported count of 0 in this arm (SCHEMA.md rubric grade 0; ascertainment = measured_null),provisional,measured_null,"The term is listed in this trial's posted serious-adverse-event table with an explicit count of 0 for this arm. The module declares frequencyThreshold=0, which governs the other-events table only.",not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.seriousEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG001'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=8."
HYD-MSR-00004,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 9 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 9 mg,"9 mg nusinersen on Days 1 and 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,0,participants,FALSE,0,9,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,0,0 = endpoint term is listed in this trial's posted adverse-event table with an explicitly reported count of 0 in this arm (SCHEMA.md rubric grade 0; ascertainment = measured_null),provisional,measured_null,"The term is listed in this trial's posted serious-adverse-event table with an explicit count of 0 for this arm. The module declares frequencyThreshold=0, which governs the other-events table only.",not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.seriousEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG002'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=9."
HYD-MSR-00005,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 12 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 12 mg,"12 mg nusinersen on Days 1, 29, 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,1,participants,FALSE,1,9,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,1,1 = self-limited complication of the lumbar-puncture delivery procedure (SCHEMA.md rubric grade 1). tox_axis is delivery_procedure_complication so these rows can be excluded from any compound-attributable analysis.,provisional,measured_positive,Count read from the posted serious-adverse-event table; module frequencyThreshold=0.,not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.seriousEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG003'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=9."
HYD-MSR-00006,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 3 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 3 mg,"3 mg nusinersen on Days 1, 29, 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,3,participants,FALSE,3,8,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,non_serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,1,1 = self-limited complication of the lumbar-puncture delivery procedure (SCHEMA.md rubric grade 1). tox_axis is delivery_procedure_complication so these rows can be excluded from any compound-attributable analysis.,provisional,measured_positive,Count read from the posted other-adverse-event table; module frequencyThreshold=0.,not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.otherEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG000'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=8."
HYD-MSR-00007,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 6 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 6 mg,"6 mg nusinersen on Days 1, 29, 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,1,participants,FALSE,1,8,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,non_serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,1,1 = self-limited complication of the lumbar-puncture delivery procedure (SCHEMA.md rubric grade 1). tox_axis is delivery_procedure_complication so these rows can be excluded from any compound-attributable analysis.,provisional,measured_positive,Count read from the posted other-adverse-event table; module frequencyThreshold=0.,not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.otherEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG001'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=8."
HYD-MSR-00008,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 9 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 9 mg,"9 mg nusinersen on Days 1 and 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,3,participants,FALSE,3,9,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,non_serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,1,1 = self-limited complication of the lumbar-puncture delivery procedure (SCHEMA.md rubric grade 1). tox_axis is delivery_procedure_complication so these rows can be excluded from any compound-attributable analysis.,provisional,measured_positive,Count read from the posted other-adverse-event table; module frequencyThreshold=0.,not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.otherEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG002'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=9."
HYD-MSR-00009,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 12 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 12 mg,"12 mg nusinersen on Days 1, 29, 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,B,procedure_complication,post_lumbar_puncture_syndrome_AE,Post lumbar puncture syndrome,5,participants,FALSE,5,9,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,non_serious,SYSTEMATIC_ASSESSMENT,"Injury, poisoning and procedural complications",MedDRA 14.1,1,1 = self-limited complication of the lumbar-puncture delivery procedure (SCHEMA.md rubric grade 1). tox_axis is delivery_procedure_complication so these rows can be excluded from any compound-attributable analysis.,provisional,measured_positive,Count read from the posted other-adverse-event table; module frequencyThreshold=0.,not_discussed,"ClinicalTrials.gov results adverse-event modules report all-cause adverse events and record no per-event causality assessment; the registry states assessmentType=SYSTEMATIC_ASSESSMENT. Attribution must be read from the concurrent comparator arm, not from this field.",delivery_procedure_complication,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.otherEvents[term='Post lumbar puncture syndrome'].stats[groupId='EG003'],public_domain,"ClinicalTrials.gov v2 API record, retrieved 2026-08-28. Arm at risk n=9."
HYD-MSR-00010,HYD-OLG-0017,nusinersen,NCT01703988,clinical_trial,human,NOT_APPLICABLE,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Dose — arm 'Nusinersen 3 mg'",TRUE,Spinal Muscular Atrophy,Nusinersen 3 mg,"3 mg nusinersen on Days 1, 29, 85, IT injection",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,Participants were followed for the duration of the study; mean (SD) duration of treatment was 82.9 (15.4) days.,A,hydrocephalus_event,hydrocephalus_serious_AE,NOT_APPLICABLE,0,participants,FALSE,0,8,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,serious,NOT_APPLICABLE,Nervous system disorders,NOT_APPLICABLE,0,0 = no serious adverse event coded to any tier-A hydrocephalus term appears in this trial's posted serious-adverse-event table (3 terms listed). SCHEMA.md rubric grade 0.,provisional,measured_null,"Derived from absence: this trial posted a serious-adverse-event table listing 3 terms and an other-event table listing 89 terms at frequencyThreshold=0; no tier-A hydrocephalus term is among them. This is a statement about the posted document, not a claim that ventricular imaging was performed. See METHODOLOGY.md OI-01.",not_discussed,No event; no attribution to record.,ventricular_enlargement,NOT_APPLICABLE,NCT01703988,resultsSection.adverseEventsModule.seriousEvents (absence of any tier-A term); eventGroups[id='EG000'].seriousNumAtRisk,public_domain,"Explicit trial-level negative. ClinicalTrials.gov v2 API record, retrieved 2026-08-28."
