measurement_id,oligo_id,source_id,study_type,species,strain,system_model,is_human_system,subject_class,subject_group,cns_region,delivery_route,dose_value,dose_unit,dose_value_secondary,dose_unit_secondary,formulation_ca_mM,formulation_mg_mM,exposure_duration,timepoint,readout_category,readout_name,readout_value,readout_is_qualitative,readout_unit,n_per_group,statistic,effect_direction,effect_vs_control,cns_tox_grade,grade_basis,grade_status,tox_axis,is_cns_specific,source_ref,source_location,redistribution,notes
H1-MSR-00001,H1-OLG-0001,H1,in_vitro,rat,Sprague-Dawley (embryonic day 19),"primary cortical neuron culture, FLIPR calcium imaging (fluo-4 AM)",FALSE,animal_invitro,animal,cortex,in_culture_medium,25,uM,,,,,300 s read,300 s FLIPR read,electrophysiology_calcium,spontaneous_calcium_oscillation_score_pct_of_control,80.17,,pct_of_untreated_control,NOT_REPORTED_per_oligo,NOT_REPORTED_per_oligo,decrease,80.17% of untreated control amplitude-derived score,,in_vitro_continuous_readout_not_graded,not_graded,acute_neuronal_excitability,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Measured_CaO_score_cells",cc_by,"Lower score = fewer/smaller oscillations = greater in vitro effect. Scoring: 1 point per 1 s read with signal increase >50% of mean control amplitude, summed over 300 s, expressed as % of control."
H1-MSR-00002,H1-OLG-0001,H1,animal_invivo,mouse,C57BL/6J adult female,"single ICV bolus, modified functional observational battery (Oligonucleotide Safety Working Group recommendation)",FALSE,animal_invivo,animal,whole_brain_lateral_ventricle,intracerebroventricular,100,ug,,,,,single bolus,0-1 h post-injection,behavioural,acute_tolerability_score_ANS,0,,score_0_to_20,4-6 mice per treatment group,group mean of per-mouse scores,no_change,ANS 0 of 20 (0 = no side effects),0,ANS=0 (no observable signs),provisional,acute_behavioural,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Acute_tolerance_score_mice",cc_by,"Five categories (hyperactivity; decreased activity/arousal; motor dysfunction/ataxia; abnormal posture and breathing; tremor/convulsions), each 0-4, summed to 0-20."
H1-MSR-00003,H1-OLG-0002,H1,in_vitro,rat,Sprague-Dawley (embryonic day 19),"primary cortical neuron culture, FLIPR calcium imaging (fluo-4 AM)",FALSE,animal_invitro,animal,cortex,in_culture_medium,25,uM,,,,,300 s read,300 s FLIPR read,electrophysiology_calcium,spontaneous_calcium_oscillation_score_pct_of_control,88.84,,pct_of_untreated_control,NOT_REPORTED_per_oligo,NOT_REPORTED_per_oligo,decrease,88.84% of untreated control amplitude-derived score,,in_vitro_continuous_readout_not_graded,not_graded,acute_neuronal_excitability,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Measured_CaO_score_cells",cc_by,"Lower score = fewer/smaller oscillations = greater in vitro effect. Scoring: 1 point per 1 s read with signal increase >50% of mean control amplitude, summed over 300 s, expressed as % of control."
H1-MSR-00004,H1-OLG-0002,H1,animal_invivo,mouse,C57BL/6J adult female,"single ICV bolus, modified functional observational battery (Oligonucleotide Safety Working Group recommendation)",FALSE,animal_invivo,animal,whole_brain_lateral_ventricle,intracerebroventricular,100,ug,,,,,single bolus,0-1 h post-injection,behavioural,acute_tolerability_score_ANS,0,,score_0_to_20,4-6 mice per treatment group,group mean of per-mouse scores,no_change,ANS 0 of 20 (0 = no side effects),0,ANS=0 (no observable signs),provisional,acute_behavioural,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Acute_tolerance_score_mice",cc_by,"Five categories (hyperactivity; decreased activity/arousal; motor dysfunction/ataxia; abnormal posture and breathing; tremor/convulsions), each 0-4, summed to 0-20."
H1-MSR-00005,H1-OLG-0003,H1,in_vitro,rat,Sprague-Dawley (embryonic day 19),"primary cortical neuron culture, FLIPR calcium imaging (fluo-4 AM)",FALSE,animal_invitro,animal,cortex,in_culture_medium,25,uM,,,,,300 s read,300 s FLIPR read,electrophysiology_calcium,spontaneous_calcium_oscillation_score_pct_of_control,76.53,,pct_of_untreated_control,NOT_REPORTED_per_oligo,NOT_REPORTED_per_oligo,decrease,76.53% of untreated control amplitude-derived score,,in_vitro_continuous_readout_not_graded,not_graded,acute_neuronal_excitability,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Measured_CaO_score_cells",cc_by,"Lower score = fewer/smaller oscillations = greater in vitro effect. Scoring: 1 point per 1 s read with signal increase >50% of mean control amplitude, summed over 300 s, expressed as % of control."
H1-MSR-00006,H1-OLG-0003,H1,animal_invivo,mouse,C57BL/6J adult female,"single ICV bolus, modified functional observational battery (Oligonucleotide Safety Working Group recommendation)",FALSE,animal_invivo,animal,whole_brain_lateral_ventricle,intracerebroventricular,100,ug,,,,,single bolus,0-1 h post-injection,behavioural,acute_tolerability_score_ANS,0,,score_0_to_20,4-6 mice per treatment group,group mean of per-mouse scores,no_change,ANS 0 of 20 (0 = no side effects),0,ANS=0 (no observable signs),provisional,acute_behavioural,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Acute_tolerance_score_mice",cc_by,"Five categories (hyperactivity; decreased activity/arousal; motor dysfunction/ataxia; abnormal posture and breathing; tremor/convulsions), each 0-4, summed to 0-20."
H1-MSR-00007,H1-OLG-0004,H1,in_vitro,rat,Sprague-Dawley (embryonic day 19),"primary cortical neuron culture, FLIPR calcium imaging (fluo-4 AM)",FALSE,animal_invitro,animal,cortex,in_culture_medium,25,uM,,,,,300 s read,300 s FLIPR read,electrophysiology_calcium,spontaneous_calcium_oscillation_score_pct_of_control,79.26,,pct_of_untreated_control,NOT_REPORTED_per_oligo,NOT_REPORTED_per_oligo,decrease,79.26% of untreated control amplitude-derived score,,in_vitro_continuous_readout_not_graded,not_graded,acute_neuronal_excitability,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Measured_CaO_score_cells",cc_by,"Lower score = fewer/smaller oscillations = greater in vitro effect. Scoring: 1 point per 1 s read with signal increase >50% of mean control amplitude, summed over 300 s, expressed as % of control."
H1-MSR-00008,H1-OLG-0004,H1,animal_invivo,mouse,C57BL/6J adult female,"single ICV bolus, modified functional observational battery (Oligonucleotide Safety Working Group recommendation)",FALSE,animal_invivo,animal,whole_brain_lateral_ventricle,intracerebroventricular,100,ug,,,,,single bolus,0-1 h post-injection,behavioural,acute_tolerability_score_ANS,0,,score_0_to_20,4-6 mice per treatment group,group mean of per-mouse scores,no_change,ANS 0 of 20 (0 = no side effects),0,ANS=0 (no observable signs),provisional,acute_behavioural,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Acute_tolerance_score_mice",cc_by,"Five categories (hyperactivity; decreased activity/arousal; motor dysfunction/ataxia; abnormal posture and breathing; tremor/convulsions), each 0-4, summed to 0-20."
H1-MSR-00009,H1-OLG-0005,H1,in_vitro,rat,Sprague-Dawley (embryonic day 19),"primary cortical neuron culture, FLIPR calcium imaging (fluo-4 AM)",FALSE,animal_invitro,animal,cortex,in_culture_medium,25,uM,,,,,300 s read,300 s FLIPR read,electrophysiology_calcium,spontaneous_calcium_oscillation_score_pct_of_control,80.17,,pct_of_untreated_control,NOT_REPORTED_per_oligo,NOT_REPORTED_per_oligo,decrease,80.17% of untreated control amplitude-derived score,,in_vitro_continuous_readout_not_graded,not_graded,acute_neuronal_excitability,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Measured_CaO_score_cells",cc_by,"Lower score = fewer/smaller oscillations = greater in vitro effect. Scoring: 1 point per 1 s read with signal increase >50% of mean control amplitude, summed over 300 s, expressed as % of control."
H1-MSR-00010,H1-OLG-0005,H1,animal_invivo,mouse,C57BL/6J adult female,"single ICV bolus, modified functional observational battery (Oligonucleotide Safety Working Group recommendation)",FALSE,animal_invivo,animal,whole_brain_lateral_ventricle,intracerebroventricular,100,ug,,,,,single bolus,0-1 h post-injection,behavioural,acute_tolerability_score_ANS,0,,score_0_to_20,4-6 mice per treatment group,group mean of per-mouse scores,no_change,ANS 0 of 20 (0 = no side effects),0,ANS=0 (no observable signs),provisional,acute_behavioural,TRUE,Hagedorn2022_NAT_10.1089/nat.2021.0071,"Supplementary Table S1, column Acute_tolerance_score_mice",cc_by,"Five categories (hyperactivity; decreased activity/arousal; motor dysfunction/ataxia; abnormal posture and breathing; tremor/convulsions), each 0-4, summed to 0-20."
