measurement_id,oligo_id,study_type,species,system_model,cns_region,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,endpoint_domain,challenge_priority,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,neurotox_grade,reversibility,is_cns_specific,source_id,source_ref,source_table,redistribution,notes
CMS0001,CNS039,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 333611",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with"";target start site 167 on SEQ ID NO: 1"
CMS0002,CNS054,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 611474",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 234 on SEQ ID NO: 1"
CMS0003,CNS055,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 611492",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 665 on SEQ ID NO: 1"
CMS0004,CNS056,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,5.0,score_0_to_7,increase,5_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 611497",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 681 on SEQ ID NO: 1 ;; VERIFIED[REFUTED] Grade 3 is not supported by this scale's own wording: 5/7 abnormal regions is not death, moribundity, unresponsiveness, frank paralysis or reported degeneration. The row's own notes record the cutoff rule actually used - ""mapping 0-<1=>0, 1 ;; corrected(neurotox_grade:3->2)"
CMS0005,CNS057,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 611500",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-10-5 MOE with mixed"";target start site 666 on SEQ ID NO: 1"
CMS0006,CNS058,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,0.0,score_0_to_7,no_change,0_vs_0_or_1_PBS,0,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612916",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 664 on SEQ ID NO: 1"
CMS0007,CNS059,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612918",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 686 on SEQ ID NO: 1"
CMS0008,CNS060,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612925",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 676 on SEQ ID NO: 1"
CMS0009,CNS061,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612927",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 678 on SEQ ID NO: 1"
CMS0010,CNS062,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,2.0,score_0_to_7,increase,2_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612928",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 679 on SEQ ID NO: 1"
CMS0011,CNS063,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612931",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 684 on SEQ ID NO: 1"
CMS0012,CNS064,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,2.0,score_0_to_7,increase,2_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612932",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 686 on SEQ ID NO: 1"
CMS0013,CNS065,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,3.0,score_0_to_7,increase,3_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612941",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 666 on SEQ ID NO: 1"
CMS0014,CNS066,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,7.0,score_0_to_7,increase,7_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612947",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 679 on SEQ ID NO: 1 ;; VERIFIED[REFUTED] Grade 3 is not supported by this scale's own wording: 7/7 abnormal regions is not death, moribundity, unresponsiveness, frank paralysis or reported degeneration. The row's own notes record the cutoff rule actually used - ""mapping 0-<1=>0, 1 ;; corrected(neurotox_grade:3->2)"
CMS0015,CNS067,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,3.0,score_0_to_7,increase,3_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612948",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 681 on SEQ ID NO: 1"
CMS0016,CNS068,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,4.0,score_0_to_7,increase,4_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 612949",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""Deoxy, MOE, and cEt with"";target start site 683 on SEQ ID NO: 1"
CMS0017,CNS074,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,3.0,score_0_to_7,increase,3_vs_0_or_1_PBS,2,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654301",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 234 on SEQ ID NO: 1"
CMS0018,CNS075,animal_invivo,rat,Sprague_Dawley_rat_CNS_invivo,spinal_cord,intrathecal,3,mg,3h,acute_neurotoxicity,medium,behavioral,acute_neurotoxicity_score,1.0,score_0_to_7,increase,1_vs_0_or_1_PBS,1,not_assessed,TRUE,P2,US10968453B2,"Table 64 (Example 14), ISIS 654302",public_domain,"[patents] grade_provisional;rat functional observational battery, 7 regions (tail, hind paws, hind legs, hind end, front posture, fore paws, head), 0/1 each, summed 0-7; patent states control animals usually score 0 or 1; mapping 0-<1=>0, 1-<3=>1, 3-<5=>2, >=5=>3;patent chemistry class=""5-8-5 MOE with mixed"";target start site 235 on SEQ ID NO: 1"
