measurement_id,oligo_id,source_id,study_type,species,strain,system_model,is_human_system,subject_class,subject_group,cns_region,delivery_route,dose_value,dose_unit,dose_value_secondary,dose_unit_secondary,formulation_ca_mM,formulation_mg_mM,exposure_duration,timepoint,readout_category,readout_name,readout_value,readout_is_qualitative,readout_unit,n_per_group,statistic,effect_direction,effect_vs_control,cns_tox_grade,grade_basis,grade_status,tox_axis,is_cns_specific,source_ref,source_location,redistribution,notes
C1-MSR-00001,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,myelitis_or_radiculitis_serious_AE,6,FALSE,patients,treated 72; control 36,"incidence, no p-value reported in label",increase,6 patients treated with QALSODY experienced myelitis or radiculitis in the clinical studies,3,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_serious_neurological,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,PI section 5.1,public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00002,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,papilledema_or_elevated_intracranial_pressure,4,FALSE,patients,treated 72; control 36,"incidence, no p-value reported in label",increase,Four patients developed elevated intracranial pressure and/or papilledema,3,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_serious_neurological,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,PI section 5.2,public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00003,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,aseptic_or_chemical_meningitis,2,FALSE,patients,treated 72; control 36,"incidence, no p-value reported in label",increase,One patient experienced a serious adverse reaction of chemical meningitis; one patient experienced a serious adverse reaction of aseptic meningitis,2,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_neuroinflammatory,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,PI section 5.3,public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00004,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,CSF_white_blood_cell_increased,14,FALSE,pct_incidence,treated 72; control 36,"incidence, no p-value reported in label",increase,14% tofersen 100 mg vs 0% placebo,2,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_neuroinflammatory,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,"PI section 6.1 adverse reactions table, Study 1 Part C",public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00005,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,CSF_protein_increased,8,FALSE,pct_incidence,treated 72; control 36,"incidence, no p-value reported in label",increase,8% tofersen 100 mg vs 3% placebo,1,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_neuroinflammatory,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,"PI section 6.1 adverse reactions table, Study 1 Part C",public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00006,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,pain,42,FALSE,pct_incidence,treated 72; control 36,"incidence, no p-value reported in label",increase,42% tofersen 100 mg vs 22% placebo,1,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_cns_tolerability,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,PI section 6.1 adverse reactions table,public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00007,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,fatigue,17,FALSE,pct_incidence,treated 72; control 36,"incidence, no p-value reported in label",increase,17% tofersen 100 mg vs 6% placebo,1,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_cns_tolerability,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,PI section 6.1 adverse reactions table,public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00008,C1-OLG-0001,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,"intrathecal, 3 loading doses 14 days apart then every 28 days",100,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,myalgia,14,FALSE,pct_incidence,treated 72; control 36,"incidence, no p-value reported in label",increase,14% tofersen 100 mg vs 6% placebo,1,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_cns_tolerability,TRUE,QALSODY_PI_DailyMed_81356b45-1cb7-4eef-88ea-e44cc18b47c5_2024-11-18,PI section 6.1 adverse reactions table,public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00009,C1-OLG-0002,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal bolus over 1-3 minutes,12,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,headache,29,FALSE,pct_incidence,treated 84; control 42,"incidence, no p-value reported in label",increase,"29% nusinersen vs 7% control (Study 2, later-onset SMA)",1,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_cns_tolerability,TRUE,SPINRAZA_PI_DailyMed_dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94_2026-04-06,"PI section 6.1 adverse reactions table, Study 2",public_domain,Read directly from the FDA prescribing information on DailyMed.
C1-MSR-00010,C1-OLG-0002,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal bolus over 1-3 minutes,12,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,back_pain,25,FALSE,pct_incidence,treated 84; control 42,"incidence, no p-value reported in label",increase,"25% nusinersen vs 0% control (Study 2, later-onset SMA)",1,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_cns_tolerability,TRUE,SPINRAZA_PI_DailyMed_dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94_2026-04-06,"PI section 6.1 adverse reactions table, Study 2",public_domain,Read directly from the FDA prescribing information on DailyMed.
