measurement_id,oligo_id,source_id,study_type,species,system_model,matrix,delivery_method,dose_value,dose_unit,timepoint,exposure_duration,n_subjects,readout_category,readout_name,readout_value,readout_unit,readout_is_qualitative,control_value,control_description,effect_direction,effect_vs_control,ratio_to_control,ratio_basis,coag_tox_grade,grade_basis,grade_status,severity_stated_by_source,on_target_effect,unintended_toxicity,source_locus,redistribution,verbatim_quote,notes,is_baseline,value_origin,grade_caveat,source_stated_grade,co_administered_agent,species_class,species_class_basis,human_system,endpoint_scope,endpoint_scope_note
COG-MSR0001,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,0,mg/kg,"pre-ECMO/CPB, before drug administration",NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,ACT,96 ± 9,s,FALSE,99 ± 8,heparin/protamine comparator group at the same pre-drug timepoint,no_change,both groups normal before drug; no difference stated,0.9697,value_over_matched_control,0,CTCAE_v5.0_control_referenced:prolongation_ratio<=1.0,provisional,NOT_REPORTED,FALSE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 2, sentence 1 (Figure 3A)",CC_BY_NC_ND,"In both groups, the ACT was normal before administrating the drug (99 ± 8 in the heparin group and 96 ± 9 seconds in the aptamer group) (Figure 3A).","Pre-drug baseline row. Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0002,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,10,mg/kg,start of ECMO/CPB (after aptamer bolus),single bolus before start of ECMO/CPB; no repeat dosing during the experiment,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,ACT,335 ± 48,s,FALSE,96 ± 9,same-group pre-drug ACT baseline (96 ± 9 s); heparin comparator at the same timepoint was 389 ± 32 s,increase,"ACT rose from 96 ± 9 s to 335 ± 48 s after the aptamer; significantly LOWER than the heparin comparator (389 ± 32 s, P = 0.01)",3.49,value_over_matched_control,3,CTCAE_v5.0_control_referenced:prolongation_>2.5x,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 2 (Figure 3A)",CC_BY_NC_ND,"At the start of ECMO/CPB, the ACT was 389 ± 32 seconds in the heparin group and 335 ± 48 seconds (P = 0.01) in the aptamer group.","Dose taken from Methods/abstract/Figure 3A legend (10 mg/kg). SEE OLIGO NOTE: the Discussion of the same paper states 5 mg/kg. Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0003,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,10,mg/kg,30 minutes of ECMO/CPB,NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,ACT,292 ± 39,s,FALSE,349 ± 55,heparin 600 IU/kg comparator group at the same timepoint,increase,P = 0.03 vs heparin; ACT remained far above the 96 ± 9 s pre-drug baseline but was lower than heparin,0.8367,value_over_matched_control,0,CTCAE_v5.0_control_referenced:prolongation_ratio<=1.0,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 2 (Figure 3A)",CC_BY_NC_ND,"At 30 and 60 minutes ECMO/CPB, the ACT remained relatively stable in the heparin- and aptamer-treated animals (349 ± 55 seconds vs. 292 ± 39 seconds, P = 0.03 and 320 ± 54 seconds vs. 254 ± 51 seconds, P = 0.01, respectively) (Figure 3A).","No repeat anticoagulant dose was given: 'Neither group received a subsequent dose of anticoagulant during the experiment.' Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0004,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,10,mg/kg,60 minutes of ECMO/CPB (end of bypass),NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,ACT,254 ± 51,s,FALSE,320 ± 54,heparin 600 IU/kg comparator group at the same timepoint,increase,P = 0.01 vs heparin,0.7937,value_over_matched_control,0,CTCAE_v5.0_control_referenced:prolongation_ratio<=1.0,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 2 (Figure 3A)",CC_BY_NC_ND,"At 30 and 60 minutes ECMO/CPB, the ACT remained relatively stable in the heparin- and aptamer-treated animals (349 ± 55 seconds vs. 292 ± 39 seconds, P = 0.03 and 320 ± 54 seconds vs. 254 ± 51 seconds, P = 0.01, respectively) (Figure 3A).","Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0005,COG-OLG002,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,50,mg/kg,after antidote administration at cessation of ECMO/CPB; remained stable to end of experiment,NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,ACT,130,s,FALSE,254 ± 51,"on-drug ACT at the end of ECMO/CPB in the same (aptamer) group, immediately before antidote",decrease,"REVERSAL: ACT fell from 254 ± 51 s (aptamer, end of bypass) to 130 s after the antidote; the source reports the same 130 s value for the heparin/protamine arm",0.5118,value_over_matched_control,0,CTCAE_v5.0_control_referenced:prolongation_ratio<=1.0,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 2, final sentence (Figure 3A)",CC_BY_NC_ND,"After administration of the antidotes, both ACT levels decreased to 130 seconds, which remained stable to the end of experiment.","The source reports a single value of 130 s covering BOTH arms and gives no dispersion. 130 s is still above the 96-99 s pre-drug baselines, i.e. reversal is described as complete but the printed number is not baseline. Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0006,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,10,mg/kg,start of ECMO/CPB,NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,aPTT,260 ± 112,s,FALSE,500 (censored: assay upper limit),"heparin 600 IU/kg comparator arm, whose aPTT exceeded the assay upper limit and was recorded as 500 s",increase,aptamer aPTT far above normal but significantly below the censored heparin comparator (P < 0.0001 at all three timepoints),0.52,value_over_matched_control,0,CTCAE_v5.0_control_referenced:prolongation_ratio<=1.0,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 3 (Figure 3B); ceiling stated in the Figure 3 legend",CC_BY_NC_ND,"In the aptamer group, the aPTT rose to 260 ± 112 seconds at the start of ECMO/CPB, 240 ± 103 seconds at 30 minutes of ECMO/CPB and 193 ± 112 seconds at the end of ECMO/CPB (P < 0.0001 compared to heparin group during these time points) (Figure 3B).","No numeric pre-drug aPTT baseline is printed for either group; the baseline exists only in the Figure 3B plot and was NOT read off the image. CENSORING ANNOTATION: in the heparin comparator arm the aPTT exceeded the assay ceiling and was recorded as 500 s with no error bars at 5 and 30 min; the aptamer arm stayed on-scale, so the aptamer-vs-heparin comparison is against a censored comparator. Figure 3 legend, verbatim: 'In animals treated with heparin, the aPTT values during ECMO/CPB exceeded the upper limit of the assay and were noted as 500 s. As no absolute maximum value could be determined at the 5- and 30-min times, no error bars are presented for the heparin samples at these time points.' Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0007,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,10,mg/kg,30 minutes of ECMO/CPB,NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,aPTT,240 ± 103,s,FALSE,500 (censored: assay upper limit),"heparin 600 IU/kg comparator arm, whose aPTT exceeded the assay upper limit and was recorded as 500 s",increase,aptamer aPTT far above normal but significantly below the censored heparin comparator (P < 0.0001 at all three timepoints),0.48,value_over_matched_control,0,CTCAE_v5.0_control_referenced:prolongation_ratio<=1.0,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 3 (Figure 3B); ceiling stated in the Figure 3 legend",CC_BY_NC_ND,"In the aptamer group, the aPTT rose to 260 ± 112 seconds at the start of ECMO/CPB, 240 ± 103 seconds at 30 minutes of ECMO/CPB and 193 ± 112 seconds at the end of ECMO/CPB (P < 0.0001 compared to heparin group during these time points) (Figure 3B).","No numeric pre-drug aPTT baseline is printed for either group; the baseline exists only in the Figure 3B plot and was NOT read off the image. CENSORING ANNOTATION: in the heparin comparator arm the aPTT exceeded the assay ceiling and was recorded as 500 s with no error bars at 5 and 30 min; the aptamer arm stayed on-scale, so the aptamer-vs-heparin comparison is against a censored comparator. Figure 3 legend, verbatim: 'In animals treated with heparin, the aPTT values during ECMO/CPB exceeded the upper limit of the assay and were noted as 500 s. As no absolute maximum value could be determined at the 5- and 30-min times, no error bars are presented for the heparin samples at these time points.' Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0008,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,10,mg/kg,60 minutes of ECMO/CPB (end of bypass),NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,aPTT,193 ± 112,s,FALSE,500 (censored: assay upper limit),"heparin 600 IU/kg comparator arm, whose aPTT exceeded the assay upper limit and was recorded as 500 s",increase,aptamer aPTT far above normal but significantly below the censored heparin comparator (P < 0.0001 at all three timepoints),0.386,value_over_matched_control,0,CTCAE_v5.0_control_referenced:prolongation_ratio<=1.0,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 3 (Figure 3B); ceiling stated in the Figure 3 legend",CC_BY_NC_ND,"In the aptamer group, the aPTT rose to 260 ± 112 seconds at the start of ECMO/CPB, 240 ± 103 seconds at 30 minutes of ECMO/CPB and 193 ± 112 seconds at the end of ECMO/CPB (P < 0.0001 compared to heparin group during these time points) (Figure 3B).","No numeric pre-drug aPTT baseline is printed for either group; the baseline exists only in the Figure 3B plot and was NOT read off the image. CENSORING ANNOTATION: in the heparin comparator arm the aPTT exceeded the assay ceiling and was recorded as 500 s with no error bars at 5 and 30 min; the aptamer arm stayed on-scale, so the aptamer-vs-heparin comparison is against a censored comparator. Figure 3 legend, verbatim: 'In animals treated with heparin, the aPTT values during ECMO/CPB exceeded the upper limit of the assay and were noted as 500 s. As no absolute maximum value could be determined at the 5- and 30-min times, no error bars are presented for the heparin samples at these time points.' Assay: Hemochron Jr. Signature Whole Blood Microcoagulation system, aPTT cuvette, ~50 uL whole blood, results displayed as plasma equivalents, duplicate samples.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0009,COG-OLG002,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,50,mg/kg,20 minutes after antidote administration,NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),clotting_time,ACT_or_aPTT_UNRESOLVED,79 ± 28,s,FALSE,60 ± 13,heparin/protamine comparator arm at the same post-reversal timepoint,decrease,return to near baseline after antidote; no significant difference from the protamine-reversed heparin arm (P = 0.20),1.317,value_over_matched_control,NOT_REPORTED,readout_has_no_published_CTCAE_criterion,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'Antidote oligonucleotide reverses the effect of the aptamer...', paragraph 3, final sentence",CC_BY_NC_ND,"After administration of the antidote, the ACT levels returned to near baseline within 20 minutes of treatment in both the heparin and aptamer group, 60 ± 13 seconds and 79 ± 28 seconds, respectively (P = 0.20), and remained stable to the end of the experiment.","READOUT LABEL IS INTERNALLY INCONSISTENT IN THE SOURCE AND I DID NOT RESOLVE IT. The sentence says 'ACT' but sits inside the paragraph that is explicitly about aPTT ('With respect to the aPTT...'), and the values (60 and 79 s) contradict the ACT post-antidote value of 130 s printed one paragraph earlier for the same animals and the same timepoint. Most likely a typo for aPTT, but the source's own word is 'ACT', so the readout_name is flagged rather than silently corrected. A reviewer must resolve this against Figure 3B before harmonising.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
COG-MSR0010,COG-OLG001,COG-S001,animal_invivo,rat,"Sprague-Dawley rat extracorporeal membrane oxygenation / cardiopulmonary bypass (ECMO/CPB) circuit, 60 min bypass then 3 h post-bypass ventilation; comparator arm heparin 600 IU/kg reversed with protamine 1 mg per 100 IU",whole_blood,intravenous bolus via superficial epigastric vein catheter,10,mg/kg,throughout 60 min bypass; gross inspection at end of study,NOT_REPORTED,10 per group (24 rats randomised; n = 10 per group stated in Results and figure legends),thrombotic_outcome,circuit_patency_and_thrombus_formation,no evidence of thrombi,NOT_APPLICABLE,TRUE,no evidence of thrombi,"heparin 600 IU/kg comparator arm, inspected identically",no_change,MEASURED NULL: circuit patency maintained and no thrombi found in either arm,NOT_REPORTED,qualitative_row,NOT_REPORTED,no_control_referenced_ratio_derivable,provisional,NOT_REPORTED,TRUE,FALSE,"Results, 'FIXa aptamer maintains patency of rat ECMO/CPB circuit', sentences 2-3",CC_BY_NC_ND,"The circuit remained patent throughout bypass in both the heparin- and aptamer-treated animals. Gross examination of the reservoir, tubing, and oxygenator revealed no evidence of thrombi.","ABSENCE ROW (measured null, not silence): the investigators inspected reservoir, tubing and oxygenator and reported finding nothing. Qualitative because no thrombus count or area was quantified. The Discussion flags the tension explicitly: the aptamer arm had LOWER ACT/aPTT than heparin, which 'is the suggestion that there may be more thrombosis in the aptamer-treated group', and gross inspection is the only evidence offered against that.",FALSE,measured_in_this_document,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,animal,species_field,FALSE,coagulation,NOT_APPLICABLE
