source_id,citation,identifier,document_file,retrieval_route,licence,redistribution,extraction_bundle,n_oligos,n_measurements
COG-S001,"Nimjee SM, de Lange F, Pitoc GA, Sullenger BA. Rats subject to extracorporeal membrane oxygenation have improved cardiac function following anticoagulation and reversal with factor IXa aptamer-antidote oligonucleotide pair. Cardiol Plus 2025;10(2):87-98.",PMC12208382 | PMID 40599554 | doi 10.1097/CP9.0000000000000122,PMC12208382.xml,"PMC Open Access JATS XML already staged locally; parsed with xml.etree (single-line JATS, table-wrap and fig captions extracted programmatically).","CONFLICTING WITHIN THE SOURCE. The JATS <permissions> block carries ali:license_ref = https://creativecommons.org/licenses/by-sa/4.0/ with content-type=""ccbysalicense"", while the printed <license-p> in the SAME block reads 'Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) ... The work cannot be changed in any way or used commercially without permission from the journal.' Copyright (c) 2025 China Heart House.",CC_BY_NC_ND,aptamers-invivo,2,13
COG-S002,"Moreno A, Pitoc GA, Ganson NJ, et al. Anti-PEG antibodies inhibit the anticoagulant activity of PEGylated aptamers. Cell Chem Biol 2019;26(5):634-644.e3.",PMC6707742 | PMID 30827937 | doi 10.1016/j.chembiol.2019.02.001,PMC6707742.xml,"PMC NIH author-manuscript JATS XML staged locally; root element is <pmc-articleset>, so the <article> child must be selected before parsing front/body/back/floats-group.",NIH author manuscript. The only permissions text is 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.' No Creative Commons licence is asserted anywhere in the record.,publisher_restricted,aptamers-invivo,1,5
COG-S003,"Ay C, Pabinger I, Kovacevic KD, et al. The VWF binding aptamer rondoraptivon pegol increases platelet counts and VWF/FVIII in type 2B von Willebrand disease. Blood Adv 2022;6(18):5467-5476.",PMC9631691 | PMID 35772170 | doi 10.1182/bloodadvances.2022007805 | NCT04677803 | EUDRA-CT 2020-003807-32,PMC9631691.xml,PMC Open Access JATS XML staged locally; Table 1 and Table 2 recovered from <table-wrap> markup.,"(c) 2022 by The American Society of Hematology. Licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0), permitting only noncommercial, nonderivative use with attribution.",CC_BY_NC_ND,aptamers-invivo,1,16
COG-S004,"Gissel M, Orfeo T, Foley JH, Butenas S. Effect of BAX499 aptamer on tissue factor pathway inhibitor function and thrombin generation in models of hemophilia. Thromb Res 2012;130(6):948-955.",PMC3508133 | PMID 22951415 | doi 10.1016/j.thromres.2012.08.299,PMC3508133.xml,"PMC NIH author-manuscript JATS XML staged locally (accepted manuscript, pre-copyedit); Table 1 recovered from <table-wrap id=""T1""> in <floats-group>.",(c) 2012 Elsevier Ltd. All rights reserved. NIH author manuscript; permissions text reads only 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.',publisher_restricted,aptamers-invivo,1,32
COG-S005,"Chan MY, Cohen MG, Dyke CK, et al. Phase 1b randomized study of antidote-controlled modulation of factor IXa activity in patients with stable coronary artery disease. Circulation 2008;117(22):2865-2874.",PMID 18506005 | doi 10.1161/CIRCULATIONAHA.107.745687,pubmed_18506005_REG1_phase1b.txt,PubMed MEDLINE-format abstract record staged locally as plain text. Full text is paywalled and was NOT retrieved; every S31 row is therefore abstract-level only.,"PubMed record is NLM-distributed, but the abstract text is (c) American Heart Association / Wolters Kluwer. Cite and link; do not republish the abstract text.",publisher_restricted,aptamers-invivo,2,6
COG-S006,"Multi-record PubMed abstract file covering the REG1/REG2 (pegnivacogin RB006 / anivamersen RB007) and BAX499 (ARC19499) programmes: PMIDs 21724623, 17101847, 18284597, 20660806, 18506005, 22500821, 19404534, 21503856, 22658294, 22632032, 24263002.",pubmed_REG1_pegnivacogin_BAX499_abstracts.txt (11 MEDLINE records; see source_locus of each row for the specific PMID),pubmed_REG1_pegnivacogin_BAX499_abstracts.txt,PubMed MEDLINE-format multi-record abstract file staged locally as plain text. No full text retrieved for any of these records. Added as a supplementary source key because the S30 and S31 triage notes explicitly designate these sibling abstracts as separately extractable rows; it is NOT one of the numbered bundle ranks.,"MIXED AND MOSTLY RESTRICTIVE. PubMed records are NLM-distributed but each abstract text is copyright its publisher: AHA/Wolters Kluwer (17101847, 20660806, 18506005), Oxford University Press/ESC (21724623), Wiley/ISTH (18284597, 22500821, 22632032), Schattauer/Thieme (19404534), Springer (21503856), Elsevier (22658294, 24263002). Cite and link; do not republish.",publisher_restricted,aptamers-invivo,3,22
COG-S007,"Soule EE, Yu H, Olson L, Naqvi I, Kumar S, Krishnaswamy S, Sullenger BA. Generation of an anticoagulant aptamer that targets factor V/Va and disrupts the FVa-membrane interaction in normal and COVID-19 patient samples. Cell Chem Biol. 2022 Feb 17;29(2):215-225.e5.",PMC8808741 | PMID 35114109 | DOI in retrieved XML: 10.1016/j.chembiol.2022.01.009 (triage sheet lists 10.1016/j.chembiol.2022.01.007 - see extraction_notes),PMC8808741.xml,"PMC OA full-text JATS XML already on disk; parsed with xml.etree. Supplementary bundle /home/user/coag-staging/supp_PMC8808741.zip was checked and is NOT a zip - it is a 10 KB EMBL-EBI 'Error: 500' HTML page, so Tables S1-S4 (sequences, SELEX conditions, per-patient COVID aPTT) were NOT obtainable.",(c) 2022 Elsevier Ltd. PMC deposit made available under Elsevier's COVID-19 resource-centre grant permitting unrestricted research re-use and analyses with acknowledgement; no CC licence asserted in the article XML.,publisher_restricted,aptamers-panel,6,21
COG-S008,Ali AS et al. New High-Affinity Thrombin Aptamers for Advancing Coagulation Therapy. Cells. 2023;12(18):2230.,PMC10526462 | PMID 37759453 | 10.3390/cells12182230,PMC10526462.xml,PMC OA full-text JATS XML already on disk; parsed with xml.etree.,CC BY 4.0 (MDPI),CC_BY,aptamers-panel,10,41
COG-S009,"Yu H, Pitoc G, Zhang M, et al. An Aptamer-Based EXACT Anticoagulant as a Sustainable, Animal-Free Alternative to Unfractionated Heparin. Adv Sci. 2026;13(4):e09867.",PMC12822440 | PMID 41053535 | 10.1002/advs.202509867,PMC12822440.xml,PMC OA full-text JATS XML already on disk; parsed with xml.etree. Supporting Information (Table S1 = sequences; Figures S1-S5) not retrieved.,CC BY 4.0,CC_BY,aptamers-panel,6,22
COG-S010,"Yu H, et al. Aptameric hirudins as selective and reversible EXosite-ACTive site (EXACT) inhibitors. Nat Commun. 2024;15:3977.",PMC11087511 | PMID 38730234 | 10.1038/s41467-024-48211-6,PMC11087511.xml,PMC OA full-text JATS XML already on disk; parsed with xml.etree. Supplementary Table 1 (sequences) and Supplementary Figs 1-8 not retrieved.,CC BY 4.0 (Nature Communications),CC_BY,aptamers-panel,11,25
