source_id,citation,database,landing_url,direct_download_url,doi,pmcid,pmid,licence,redistribution,we_may_redistribute,local_extracted_copy,n_measurements,access_note
COG-S001,"Nimjee SM, de Lange F, Pitoc GA, Sullenger BA. Rats subject to extracorporeal membrane oxygenation have improved cardiac function following anticoagulation and reversal with factor IXa aptamer-antidote oligonucleotide pair. Cardiol Plus 2025;10(2):87-98.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12208382/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12208382/fullTextXML,10.1097/CP9.0000000000000122,PMC12208382,40599554,"CONFLICTING WITHIN THE SOURCE. The JATS <permissions> block carries ali:license_ref = https://creativecommons.org/licenses/by-sa/4.0/ with content-type=""ccbysalicense"", while the printed <license-p> in the SAME block reads 'Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) ... The work cannot be changed in any way or used commercially without permission from the journal.' Copyright (c) 2025 China Heart House.",CC_BY_NC_ND,yes,sources/documents/PMC12208382.xml,13,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S002,"Moreno A, Pitoc GA, Ganson NJ, et al. Anti-PEG antibodies inhibit the anticoagulant activity of PEGylated aptamers. Cell Chem Biol 2019;26(5):634-644.e3.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC6707742/,,10.1016/j.chembiol.2019.02.001,PMC6707742,30827937,NIH author manuscript. The only permissions text is 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.' No Creative Commons licence is asserted anywhere in the record.,publisher_restricted,no,sources/documents/PMC6707742.xml,5,Publisher-restricted or licence unresolved - NOT programmatically fetchable. Open the landing page with your institutional access.
COG-S003,"Ay C, Pabinger I, Kovacevic KD, et al. The VWF binding aptamer rondoraptivon pegol increases platelet counts and VWF/FVIII in type 2B von Willebrand disease. Blood Adv 2022;6(18):5467-5476.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC9631691/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9631691/fullTextXML,10.1182/bloodadvances.2022007805,PMC9631691,35772170,"(c) 2022 by The American Society of Hematology. Licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0), permitting only noncommercial, nonderivative use with attribution.",CC_BY_NC_ND,yes,sources/documents/PMC9631691.xml,16,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S004,"Gissel M, Orfeo T, Foley JH, Butenas S. Effect of BAX499 aptamer on tissue factor pathway inhibitor function and thrombin generation in models of hemophilia. Thromb Res 2012;130(6):948-955.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3508133/,,10.1016/j.thromres.2012.08.299,PMC3508133,22951415,(c) 2012 Elsevier Ltd. All rights reserved. NIH author manuscript; permissions text reads only 'This file is available for text mining. It may also be used consistent with the principles of fair use under the copyright law.',publisher_restricted,no,sources/documents/PMC3508133.xml,32,Publisher-restricted or licence unresolved - NOT programmatically fetchable. Open the landing page with your institutional access.
COG-S005,"Chan MY, Cohen MG, Dyke CK, et al. Phase 1b randomized study of antidote-controlled modulation of factor IXa activity in patients with stable coronary artery disease. Circulation 2008;117(22):2865-2874.",PubMed,https://pubmed.ncbi.nlm.nih.gov/18506005/,,10.1161/CIRCULATIONAHA.107.745687,,18506005,"PubMed record is NLM-distributed, but the abstract text is (c) American Heart Association / Wolters Kluwer. Cite and link; do not republish the abstract text.",publisher_restricted,no,sources/documents/pubmed_18506005_REG1_phase1b.txt,6,Abstract only in this release; use the landing page for the full text.
COG-S006,"Multi-record PubMed abstract file covering the REG1/REG2 (pegnivacogin RB006 / anivamersen RB007) and BAX499 (ARC19499) programmes: PMIDs 21724623, 17101847, 18284597, 20660806, 18506005, 22500821, 19404534, 21503856, 22658294, 22632032, 24263002.",EMA,https://www.ema.europa.eu/en/medicines,,,,,"MIXED AND MOSTLY RESTRICTIVE. PubMed records are NLM-distributed but each abstract text is copyright its publisher: AHA/Wolters Kluwer (17101847, 20660806, 18506005), Oxford University Press/ESC (21724623), Wiley/ISTH (18284597, 22500821, 22632032), Schattauer/Thieme (19404534), Springer (21503856), Elsevier (22658294, 24263002). Cite and link; do not republish.",publisher_restricted,no,sources/documents/pubmed_REG1_pegnivacogin_BAX499_abstracts.txt,22,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S007,"Soule EE, Yu H, Olson L, Naqvi I, Kumar S, Krishnaswamy S, Sullenger BA. Generation of an anticoagulant aptamer that targets factor V/Va and disrupts the FVa-membrane interaction in normal and COVID-19 patient samples. Cell Chem Biol. 2022 Feb 17;29(2):215-225.e5.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8808741/,,10.1016/j.chembiol.2022.01.009,PMC8808741,35114109,(c) 2022 Elsevier Ltd. PMC deposit made available under Elsevier's COVID-19 resource-centre grant permitting unrestricted research re-use and analyses with acknowledgement; no CC licence asserted in the article XML.,publisher_restricted,no,sources/documents/PMC8808741.xml,21,Publisher-restricted or licence unresolved - NOT programmatically fetchable. Open the landing page with your institutional access.
COG-S008,Ali AS et al. New High-Affinity Thrombin Aptamers for Advancing Coagulation Therapy. Cells. 2023;12(18):2230.,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10526462/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10526462/fullTextXML,10.3390/cells12182230,PMC10526462,37759453,CC BY 4.0 (MDPI),CC_BY,yes,sources/documents/PMC10526462.xml,41,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S009,"Yu H, Pitoc G, Zhang M, et al. An Aptamer-Based EXACT Anticoagulant as a Sustainable, Animal-Free Alternative to Unfractionated Heparin. Adv Sci. 2026;13(4):e09867.",EMA,https://pmc.ncbi.nlm.nih.gov/articles/PMC12822440/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12822440/fullTextXML,10.1002/advs.202509867,PMC12822440,41053535,CC BY 4.0,CC_BY,yes,sources/documents/PMC12822440.xml,22,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S010,"Yu H, et al. Aptameric hirudins as selective and reversible EXosite-ACTive site (EXACT) inhibitors. Nat Commun. 2024;15:3977.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11087511/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11087511/fullTextXML,10.1038/s41467-024-48211-6,PMC11087511,38730234,CC BY 4.0 (Nature Communications),CC_BY,yes,sources/documents/PMC11087511.xml,25,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
