compound,meddra_pt,n_reports_drug_and_event,drug_total_faers_reports,background_event_reports_all_drugs,faers_grand_total,PRR,chi2_yates,signal_flag_a3_prr2_chi4,exact_openfda_query
fitusiran,ANTITHROMBIN III DECREASED,1,44,264,20692690,1788.17,444.4,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""fitusiran""+AND+patient.reaction.reactionmeddrapt.exact:""ANTITHROMBIN III DECREASED""&limit=1"
fitusiran,FIBRIN D DIMER INCREASED,1,44,3516,20692690,133.79,32.5,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""fitusiran""+AND+patient.reaction.reactionmeddrapt.exact:""FIBRIN D DIMER INCREASED""&limit=1"
imetelstat,COAGULATION TIME PROLONGED,1,176,1539,20692690,76.44,18.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""imetelstat""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULATION TIME PROLONGED""&limit=1"
fitusiran,HAEMORRHAGE,10,44,103173,20692690,45.59,394.6,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""fitusiran""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
defibrotide,ANTITHROMBIN III DECREASED,2,3546,264,20692690,44.54,46.8,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""ANTITHROMBIN III DECREASED""&limit=1"
nusinersen,COAGULATION FACTOR DEFICIENCY,1,7655,160,20692690,16.99,3.3,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULATION FACTOR DEFICIENCY""&limit=1"
pegaptanib_MACUGEN,FIBRIN D DIMER INCREASED,1,403,3516,20692690,14.61,2.7,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""MACUGEN""+AND+patient.reaction.reactionmeddrapt.exact:""FIBRIN D DIMER INCREASED""&limit=1"
nusinersen,ACTIVATED PARTIAL THROMBOPLASTIN TIME SHORTENED,2,7655,416,20692690,13.05,11.8,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""ACTIVATED PARTIAL THROMBOPLASTIN TIME SHORTENED""&limit=1"
nusinersen,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,19,7655,5013,20692690,10.28,149.5,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED""&limit=1"
pegaptanib_MACUGEN,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,1,403,5013,20692690,10.24,1.7,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""MACUGEN""+AND+patient.reaction.reactionmeddrapt.exact:""ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED""&limit=1"
defibrotide,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,8,3546,5013,20692690,9.33,51.4,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED""&limit=1"
defibrotide,HAEMORRHAGE,155,3546,103173,20692690,8.78,1064.3,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
pegaptanib_MACUGEN,PROTHROMBIN TIME PROLONGED,1,403,5965,20692690,8.61,1.3,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""MACUGEN""+AND+patient.reaction.reactionmeddrapt.exact:""PROTHROMBIN TIME PROLONGED""&limit=1"
inotersen_TEGSEDI,PROTHROMBIN TIME SHORTENED,1,1763,1387,20692690,8.47,1.2,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""PROTHROMBIN TIME SHORTENED""&limit=1"
olezarsen,INTERNATIONAL NORMALISED RATIO DECREASED,1,676,4031,20692690,7.6,1.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""olezarsen""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO DECREASED""&limit=1"
pegaptanib_MACUGEN,INTERNATIONAL NORMALISED RATIO INCREASED,4,403,28414,20692690,7.23,15.7,True,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""MACUGEN""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
inotersen_TEGSEDI,FIBRIN D DIMER INCREASED,2,1763,3516,20692690,6.68,4.8,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""FIBRIN D DIMER INCREASED""&limit=1"
defibrotide,COAGULOPATHY,17,3546,16396,20692690,6.06,66.8,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULOPATHY""&limit=1"
defibrotide,BLOOD FIBRINOGEN DECREASED,1,3546,1104,20692690,5.29,0.5,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""BLOOD FIBRINOGEN DECREASED""&limit=1"
nusinersen,COAGULATION TIME PROLONGED,3,7655,1539,20692690,5.28,6.5,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULATION TIME PROLONGED""&limit=1"
inotersen_TEGSEDI,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,2,1763,5013,20692690,4.68,2.7,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED""&limit=1"
