oligo_name,source_key,study_type,species,strain,system_model,is_human_system,indication_population,arm_label,arm_description,arm_role,cns_compartment,delivery_route,dose_value,dose_unit,dose_regimen,exposure_duration,timepoint,endpoint_tier,readout_category,readout_name,readout_term_verbatim,readout_value,readout_unit,readout_is_qualitative,n_affected,n_at_risk,comparator_arm,n_affected_comparator,n_at_risk_comparator,statistic,effect_direction,effect_vs_control,seriousness,assessment_type,organ_system,source_vocabulary,hydroceph_grade,grade_basis,grade_status,ascertainment,ascertainment_basis,attribution_as_stated,attribution_evidence,tox_axis,event_cluster_id,source_ref,source_location,redistribution,notes
placebo_or_sham_control,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'Placebo'",TRUE,Huntington's Disease,Placebo,NOT_APPLICABLE,comparator,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,Placebo,"Screening, Days 113, and 197",Screening,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),35.58,mL,FALSE,NOT_APPLICABLE,12,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEAN; dispersion Standard Deviation = 19.02,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Screening'].categories[0].measurements[groupId='OG000'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 10 mg'",TRUE,Huntington's Disease,ISIS 443139 10 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 10 mg,"Screening, Days 113, and 197",Screening,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),17.88,mL,FALSE,NOT_APPLICABLE,3,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 12.20,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 35.58 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Screening'].categories[0].measurements[groupId='OG001'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 30 mg'",TRUE,Huntington's Disease,ISIS 443139 30 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 30 mg,"Screening, Days 113, and 197",Screening,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),33.02,mL,FALSE,NOT_APPLICABLE,6,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 17.46,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 35.58 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Screening'].categories[0].measurements[groupId='OG002'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 60 mg'",TRUE,Huntington's Disease,ISIS 443139 60 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 60 mg,"Screening, Days 113, and 197",Screening,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),31.90,mL,FALSE,NOT_APPLICABLE,6,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 13.21,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 35.58 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Screening'].categories[0].measurements[groupId='OG003'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 90 mg'",TRUE,Huntington's Disease,ISIS 443139 90 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 90 mg,"Screening, Days 113, and 197",Screening,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),39.33,mL,FALSE,NOT_APPLICABLE,9,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 23.52,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 35.58 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Screening'].categories[0].measurements[groupId='OG004'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 120 mg'",TRUE,Huntington's Disease,ISIS 443139 120 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 120 mg,"Screening, Days 113, and 197",Screening,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),27.53,mL,FALSE,NOT_APPLICABLE,10,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 19.31,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 35.58 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Screening'].categories[0].measurements[groupId='OG005'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
placebo_or_sham_control,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'Placebo'",TRUE,Huntington's Disease,Placebo,NOT_APPLICABLE,comparator,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,Placebo,"Screening, Days 113, and 197",Day 113,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),36.11,mL,FALSE,NOT_APPLICABLE,12,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEAN; dispersion Standard Deviation = 19.37,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 113'].categories[0].measurements[groupId='OG000'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 10 mg'",TRUE,Huntington's Disease,ISIS 443139 10 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 10 mg,"Screening, Days 113, and 197",Day 113,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),18.66,mL,FALSE,NOT_APPLICABLE,3,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 12.84,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.11 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 113'].categories[0].measurements[groupId='OG001'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 30 mg'",TRUE,Huntington's Disease,ISIS 443139 30 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 30 mg,"Screening, Days 113, and 197",Day 113,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),33.56,mL,FALSE,NOT_APPLICABLE,6,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 17.87,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.11 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 113'].categories[0].measurements[groupId='OG002'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
tominersen,NCT02519036,clinical_trial,human,NOT_APPLICABLE,"NCT02519036 — pre-specified MRI outcome measure, arm 'ISIS 443139 60 mg'",TRUE,Huntington's Disease,ISIS 443139 60 mg,NOT_APPLICABLE,exposed,whole_ventricular_system,intrathecal_lumbar,NOT_REPORTED,NOT_APPLICABLE,ISIS 443139 60 mg,"Screening, Days 113, and 197",Day 113,A,ventricular_morphometry,ventricular_volume_MRI,Ventricular Volume as Assessed by Structural Magnetic Resonance Imaging (MRI),32.04,mL,FALSE,NOT_APPLICABLE,6,Placebo,NOT_APPLICABLE,12,MEAN; dispersion Standard Deviation = 14.26,NOT_APPLICABLE,comparator arm 'Placebo' at the same timepoint: 36.11 mL,NOT_APPLICABLE,protocol_specified_MRI_outcome_measure,Nervous system disorders,NOT_APPLICABLE,,"NOT GRADED. This is a continuous, protocol-specified measurement of ventricular volume, not a per-subject severity classification; the 0-3 rubric does not apply. It is reported exactly as published, and no change score or test statistic is computed here.",not_graded,measured_positive,"The strongest ascertainment in this dataset: the protocol required ventricular volume to be measured by structural MRI in every participant on a fixed schedule, so this value exists whether or not anything abnormal was seen. For a continuous readout, measured_positive means the quantity was measured and reported; magnitude and direction are carried by readout_value and effect_direction, not by this column.",not_discussed,An outcome-measure table reports values by arm and states no causal interpretation. Attribution must be read from the concurrent comparator arm.,ventricular_enlargement,NOT_APPLICABLE,NCT02519036,resultsSection.outcomeMeasuresModule.outcomeMeasures[title='Ventricular Volume as Assessed by Structural Magnetic Resona'].classes[title='Day 113'].categories[0].measurements[groupId='OG003'],public_domain,"Pre-specified MRI outcome measure. ClinicalTrials.gov v2 API record, retrieved 2026-09-04."
