oligo_name,source_key,study_type,species,strain,system_model,is_human_system,indication_population,arm_label,arm_description,arm_role,cns_compartment,delivery_route,exposure_duration,timepoint,endpoint_tier,readout_category,readout_name,readout_term_verbatim,readout_value,readout_unit,readout_is_qualitative,n_affected,n_at_risk,comparator_arm,n_affected_comparator,n_at_risk_comparator,statistic,effect_direction,seriousness,assessment_type,organ_system,source_vocabulary,hydroceph_grade,grade_basis,grade_status,ascertainment,ascertainment_basis,attribution_as_stated,attribution_evidence,tox_axis,source_ref,source_location,redistribution,notes
nusinersen,DailyMed_SPL_nusinersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,"SPINRAZA (NUSINERSEN) INJECTION, SOLUTION [BIOGEN INC.]",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,A,hydrocephalus_event,label_statement_hydrocephalus,"Hydrocephalus, aseptic meningitis, hypersensitivity reactions (e.g. angioedema, urticaria, rash), and arachnoiditis have also been reported.","Hydrocephalus, aseptic meningitis, hypersensitivity reactions (e.g. angioedema, urticaria, rash), and arachnoiditis have also been reported.",verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,3,3 = the product's official prescribing information names hydrocephalus as an identified adverse reaction (SCHEMA.md rubric grade 3).,provisional,measured_positive,"Statement present in the current label, quoted verbatim. A label names an identified risk; it reports no incidence denominator unless the quoted sentence contains one.",drug_attributed,Inclusion in the product's approved labelling is a regulatory determination that the event is an identified or potential risk of the product. Postmarketing-experience sections state explicitly that a causal relationship cannot always be established.,ventricular_enlargement,"DailyMed setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94, label published Apr 06, 2026",SPL section '6.2 Postmarketing Experience' [POSTMARKETING EXPERIENCE SECTION],public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_nusinersen_dd70cd5f.xml"
nusinersen,DailyMed_SPL_nusinersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,"SPINRAZA (NUSINERSEN) INJECTION, SOLUTION [BIOGEN INC.]",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,A,ventricular_morphometry,label_statement_ventriculomegaly,NOT_APPLICABLE,NOT_REPORTED,verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,0,0 = the current prescribing information contains no statement matching this endpoint concept (SCHEMA.md rubric grade 0).,provisional,measured_null,"Derived from absence across the full label text. A label lists identified risks, not everything that was looked for and not found, so this is weaker than a trial-arm zero. See METHODOLOGY.md OI-01.",not_discussed,No statement; no attribution to record.,ventricular_enlargement,"DailyMed setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94, label published Apr 06, 2026","whole SPL, setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94, published Apr 06, 2026",public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_nusinersen_dd70cd5f.xml"
nusinersen,DailyMed_SPL_nusinersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,"SPINRAZA (NUSINERSEN) INJECTION, SOLUTION [BIOGEN INC.]",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,B,csf_pressure,label_statement_intracranial_pressure,NOT_APPLICABLE,NOT_REPORTED,verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,0,0 = the current prescribing information contains no statement matching this endpoint concept (SCHEMA.md rubric grade 0).,provisional,measured_null,"Derived from absence across the full label text. A label lists identified risks, not everything that was looked for and not found, so this is weaker than a trial-arm zero. See METHODOLOGY.md OI-01.",not_discussed,No statement; no attribution to record.,csf_pressure_disturbance,"DailyMed setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94, label published Apr 06, 2026","whole SPL, setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94, published Apr 06, 2026",public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_nusinersen_dd70cd5f.xml"
nusinersen,DailyMed_SPL_nusinersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,"SPINRAZA (NUSINERSEN) INJECTION, SOLUTION [BIOGEN INC.]",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,B,csf_composition,label_statement_aseptic_meningitis,"Hydrocephalus, aseptic meningitis, hypersensitivity reactions (e.g. angioedema, urticaria, rash), and arachnoiditis have also been reported.","Hydrocephalus, aseptic meningitis, hypersensitivity reactions (e.g. angioedema, urticaria, rash), and arachnoiditis have also been reported.",verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,2,"2 = the label names raised intracranial pressure, papilloedema, aseptic/chemical meningitis or arachnoiditis (SCHEMA.md rubric grade 2).",provisional,measured_positive,"Statement present in the current label, quoted verbatim. A label names an identified risk; it reports no incidence denominator unless the quoted sentence contains one.",drug_attributed,Inclusion in the product's approved labelling is a regulatory determination that the event is an identified or potential risk of the product. Postmarketing-experience sections state explicitly that a causal relationship cannot always be established.,csf_composition_disturbance,"DailyMed setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94, label published Apr 06, 2026",SPL section '6.2 Postmarketing Experience' [POSTMARKETING EXPERIENCE SECTION],public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_nusinersen_dd70cd5f.xml"
nusinersen,DailyMed_SPL_nusinersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,"SPINRAZA (NUSINERSEN) INJECTION, SOLUTION [BIOGEN INC.]",exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,B,procedure_complication,label_statement_csf_or_lp,"2.1 Recommended Dosage SPINRAZA is administered intrathecally by, or under the direction of, healthcare professionals experienced in performing lumbar punctures.","2.1 Recommended Dosage SPINRAZA is administered intrathecally by, or under the direction of, healthcare professionals experienced in performing lumbar punctures.",verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,1,1 = the label names a CSF or lumbar-puncture procedural matter (SCHEMA.md rubric grade 1); tox_axis is delivery_procedure_complication.,provisional,measured_positive,"Statement present in the current label, quoted verbatim. A label names an identified risk; it reports no incidence denominator unless the quoted sentence contains one.",drug_attributed,Inclusion in the product's approved labelling is a regulatory determination that the event is an identified or potential risk of the product. Postmarketing-experience sections state explicitly that a causal relationship cannot always be established.,delivery_procedure_complication,"DailyMed setid dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94, label published Apr 06, 2026",SPL section '2.1 Recommended Dosage' [SPL UNCLASSIFIED SECTION],public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_nusinersen_dd70cd5f.xml"
tofersen,DailyMed_SPL_tofersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,QALSODY (TOFERSEN) INJECTION [BIOGEN INC.],exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,A,hydrocephalus_event,label_statement_hydrocephalus,NOT_APPLICABLE,NOT_REPORTED,verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,0,0 = the current prescribing information contains no statement matching this endpoint concept (SCHEMA.md rubric grade 0).,provisional,measured_null,"Derived from absence across the full label text. A label lists identified risks, not everything that was looked for and not found, so this is weaker than a trial-arm zero. See METHODOLOGY.md OI-01.",not_discussed,No statement; no attribution to record.,ventricular_enlargement,"DailyMed setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5, label published Nov 18, 2024","whole SPL, setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5, published Nov 18, 2024",public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_tofersen_81356b45.xml"
tofersen,DailyMed_SPL_tofersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,QALSODY (TOFERSEN) INJECTION [BIOGEN INC.],exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,A,ventricular_morphometry,label_statement_ventriculomegaly,NOT_APPLICABLE,NOT_REPORTED,verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,no_change,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,0,0 = the current prescribing information contains no statement matching this endpoint concept (SCHEMA.md rubric grade 0).,provisional,measured_null,"Derived from absence across the full label text. A label lists identified risks, not everything that was looked for and not found, so this is weaker than a trial-arm zero. See METHODOLOGY.md OI-01.",not_discussed,No statement; no attribution to record.,ventricular_enlargement,"DailyMed setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5, label published Nov 18, 2024","whole SPL, setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5, published Nov 18, 2024",public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_tofersen_81356b45.xml"
tofersen,DailyMed_SPL_tofersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,QALSODY (TOFERSEN) INJECTION [BIOGEN INC.],exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,B,csf_pressure,label_statement_intracranial_pressure,(5.1) Papilledema and Elevated Intracranial Pressure: Serious events of papilledema and elevated intracranial pressure have been reported.,(5.1) Papilledema and Elevated Intracranial Pressure: Serious events of papilledema and elevated intracranial pressure have been reported.,verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,2,"2 = the label names raised intracranial pressure, papilloedema, aseptic/chemical meningitis or arachnoiditis (SCHEMA.md rubric grade 2).",provisional,measured_positive,"Statement present in the current label, quoted verbatim. A label names an identified risk; it reports no incidence denominator unless the quoted sentence contains one.",drug_attributed,Inclusion in the product's approved labelling is a regulatory determination that the event is an identified or potential risk of the product. Postmarketing-experience sections state explicitly that a causal relationship cannot always be established.,csf_pressure_disturbance,"DailyMed setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5, label published Nov 18, 2024",SPL section '5 WARNINGS AND PRECAUTIONS' [WARNINGS AND PRECAUTIONS SECTION],public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_tofersen_81356b45.xml"
tofersen,DailyMed_SPL_tofersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,QALSODY (TOFERSEN) INJECTION [BIOGEN INC.],exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,B,csf_composition,label_statement_aseptic_meningitis,(5.2) Aseptic Meningitis: Serious events of aseptic meningitis have been reported.,(5.2) Aseptic Meningitis: Serious events of aseptic meningitis have been reported.,verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,2,"2 = the label names raised intracranial pressure, papilloedema, aseptic/chemical meningitis or arachnoiditis (SCHEMA.md rubric grade 2).",provisional,measured_positive,"Statement present in the current label, quoted verbatim. A label names an identified risk; it reports no incidence denominator unless the quoted sentence contains one.",drug_attributed,Inclusion in the product's approved labelling is a regulatory determination that the event is an identified or potential risk of the product. Postmarketing-experience sections state explicitly that a causal relationship cannot always be established.,csf_composition_disturbance,"DailyMed setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5, label published Nov 18, 2024",SPL section '5 WARNINGS AND PRECAUTIONS' [WARNINGS AND PRECAUTIONS SECTION],public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_tofersen_81356b45.xml"
tofersen,DailyMed_SPL_tofersen,regulatory_label,human,NOT_APPLICABLE,FDA prescribing information (Structured Product Label),TRUE,NOT_REPORTED,labelled population,QALSODY (TOFERSEN) INJECTION [BIOGEN INC.],exposed,CSF_and_neuraxis,intrathecal_lumbar,NOT_APPLICABLE,NOT_APPLICABLE,B,procedure_complication,label_statement_csf_or_lp,"Preparation and Administration Instructions (2.2) Allow to warm to room temperature prior to administration Administer within 4 hours of removal from vial Prior to administration, remove approximately 10 mL of cerebrospinal fluid Administer as an intrathecal bolus injection over 1 to 3 minutes 2.1.","Preparation and Administration Instructions (2.2) Allow to warm to room temperature prior to administration Administer within 4 hours of removal from vial Prior to administration, remove approximately 10 mL of cerebrospinal fluid Administer as an intrathecal bolus injection over 1 to 3 minutes 2.1.",verbatim_label_text,TRUE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,increase,NOT_REPORTED,regulatory_labelling,NOT_APPLICABLE,FDA SPL / LOINC section coding,1,1 = the label names a CSF or lumbar-puncture procedural matter (SCHEMA.md rubric grade 1); tox_axis is delivery_procedure_complication.,provisional,measured_positive,"Statement present in the current label, quoted verbatim. A label names an identified risk; it reports no incidence denominator unless the quoted sentence contains one.",drug_attributed,Inclusion in the product's approved labelling is a regulatory determination that the event is an identified or potential risk of the product. Postmarketing-experience sections state explicitly that a causal relationship cannot always be established.,delivery_procedure_complication,"DailyMed setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5, label published Nov 18, 2024",SPL section '2 DOSAGE AND ADMINISTRATION' [DOSAGE & ADMINISTRATION SECTION],public_domain,"DailyMed v2 API, retrieved 2026-08-29. Label XML committed at sources/raw/dailymed_tofersen_81356b45.xml"
