measurement_id,oligo_id,source_id,study_type,species,strain,system_model,is_human_system,subject_class,subject_group,cns_region,delivery_route,dose_value,dose_unit,dose_value_secondary,dose_unit_secondary,formulation_ca_mM,formulation_mg_mM,exposure_duration,timepoint,readout_category,readout_name,readout_value,readout_is_qualitative,readout_unit,n_per_group,statistic,effect_direction,effect_vs_control,cns_tox_grade,grade_basis,grade_status,tox_axis,is_cns_specific,source_ref,source_location,redistribution,notes
C1-MSR-00011,C1-OLG-0002,C1,clinical,human,NOT_APPLICABLE,"randomised placebo/sham-controlled trial, patient cohort",TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal bolus over 1-3 minutes,12,mg,,,,,chronic dosing,trial duration,clinical_cns_outcome,hydrocephalus_postmarketing,NOT_REPORTED,TRUE,NA,treated NOT_REPORTED; control NOT_REPORTED,"incidence, no p-value reported in label",increase,Hydrocephalus reported post-marketing; frequency not estimable from spontaneous reports,3,3 = serious/irreversible-risk neurological event named in Warnings and Precautions; 2 = objective CNS inflammatory marker or meningitis; 1 = symptomatic but non-serious CNS-related adverse reaction,provisional,clinical_serious_neurological,TRUE,SPINRAZA_PI_DailyMed_dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94_2026-04-06,PI section 6.2 postmarketing,public_domain,Read directly from the FDA prescribing information on DailyMed.
CT1-MSR-01475,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: RO7234292 Monthly,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,From baseline to up to 18 months,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,4.35,FALSE,pct_of_arm,1/23,count affected of count at risk; no p-value posted,increase,1/23 in arm 'RO7234292 Monthly',3,reported in the trial's SERIOUS adverse event table,provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03342053,"NCT03342053 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG000 (RO7234292 Monthly)",public_domain,"MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RO. Treated arm."
CT1-MSR-01476,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: RO7234292 Bimonthly,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,From baseline to up to 18 months,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,0.0,FALSE,pct_of_arm,0/23,count affected of count at risk; no p-value posted,no_change,0/23 in arm 'RO7234292 Bimonthly',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03342053,"NCT03342053 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG001 (RO7234292 Bimonthly)",public_domain,"MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RO. Treated arm."
CT1-MSR-01581,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: PLB ODC,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,For ODC Up to 13 Months. For NDC Approximately Up to 137 Weeks,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,0.0,FALSE,pct_of_arm,0/36,count affected of count at risk; no p-value posted,no_change,0/36 in arm 'PLB ODC',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03761849,"NCT03761849 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG000 (PLB ODC)",public_domain,MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG604. Treated arm.
CT1-MSR-01582,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: Q4W ODC,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,For ODC Up to 13 Months. For NDC Approximately Up to 137 Weeks,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,0.0,FALSE,pct_of_arm,0/36,count affected of count at risk; no p-value posted,no_change,0/36 in arm 'Q4W ODC',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03761849,"NCT03761849 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG001 (Q4W ODC)",public_domain,MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG604. Treated arm.
CT1-MSR-01583,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: Q8W ODC,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,For ODC Up to 13 Months. For NDC Approximately Up to 137 Weeks,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,0.0,FALSE,pct_of_arm,0/36,count affected of count at risk; no p-value posted,no_change,0/36 in arm 'Q8W ODC',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03761849,"NCT03761849 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG002 (Q8W ODC)",public_domain,MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG604. Treated arm.
CT1-MSR-01584,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: Q8W NDC,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,For ODC Up to 13 Months. For NDC Approximately Up to 137 Weeks,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,0.76,FALSE,pct_of_arm,2/263,count affected of count at risk; no p-value posted,increase,2/263 in arm 'Q8W NDC',3,reported in the trial's SERIOUS adverse event table,provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03761849,"NCT03761849 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG003 (Q8W NDC)",public_domain,MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG604. Treated arm.
CT1-MSR-01585,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: Q16W NDC,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,For ODC Up to 13 Months. For NDC Approximately Up to 137 Weeks,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,0.0,FALSE,pct_of_arm,0/264,count affected of count at risk; no p-value posted,no_change,0/264 in arm 'Q16W NDC',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03761849,"NCT03761849 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG004 (Q16W NDC)",public_domain,MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG604. Treated arm.
CT1-MSR-01586,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: PLB NDC,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,For ODC Up to 13 Months. For NDC Approximately Up to 137 Weeks,trial adverse-event collection period,clinical_cns_outcome,Hydrocephalus,0.0,FALSE,pct_of_arm,0/264,count affected of count at risk; no p-value posted,no_change,0/264 in arm 'PLB NDC',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03761849,"NCT03761849 resultsSection.adverseEventsModule.seriousEvents, term 'Hydrocephalus', group EG005 (PLB NDC)",public_domain,MedDRA organ class: Nervous system disorders. Trial: A Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG604. Treated arm.
CT1-MSR-01686,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: Tominersen 120mg Q4W,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,Up to Approx. 3 Years,trial adverse-event collection period,clinical_cns_outcome,Normal pressure hydrocephalus,0.0,FALSE,pct_of_arm,0/14,count affected of count at risk; no p-value posted,no_change,0/14 in arm 'Tominersen 120mg Q4W',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03842969,"NCT03842969 resultsSection.adverseEventsModule.seriousEvents, term 'Normal pressure hydrocephalus', group EG000 (Tominersen 120mg Q4W)",public_domain,MedDRA organ class: Nervous system disorders. Trial: An Open-Label Extension Study to Evaluate Long-Term Safety and Tolerability of RO7234292 (. Treated arm.
CT1-MSR-01687,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: Tominersen 120 mg Q8W,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,Up to Approx. 3 Years,trial adverse-event collection period,clinical_cns_outcome,Normal pressure hydrocephalus,0.7,FALSE,pct_of_arm,1/143,count affected of count at risk; no p-value posted,increase,1/143 in arm 'Tominersen 120 mg Q8W',3,reported in the trial's SERIOUS adverse event table,provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03842969,"NCT03842969 resultsSection.adverseEventsModule.seriousEvents, term 'Normal pressure hydrocephalus', group EG001 (Tominersen 120 mg Q8W)",public_domain,MedDRA organ class: Nervous system disorders. Trial: An Open-Label Extension Study to Evaluate Long-Term Safety and Tolerability of RO7234292 (. Treated arm.
CT1-MSR-01688,CT1-OLG-0002,CT1,clinical,human,NOT_APPLICABLE,randomised clinical trial arm: Tominersen 120 mg Q16W,TRUE,human_clinical,human,CSF_and_neuraxis,intrathecal_or_intracerebroventricular,NOT_REPORTED,NOT_REPORTED,,,,,Up to Approx. 3 Years,trial adverse-event collection period,clinical_cns_outcome,Normal pressure hydrocephalus,0.0,FALSE,pct_of_arm,0/88,count affected of count at risk; no p-value posted,no_change,0/88 in arm 'Tominersen 120 mg Q16W',0,no event in this arm (numAffected = 0),provisional,clinical_serious_neurological,TRUE,ClinicalTrials.gov NCT03842969,"NCT03842969 resultsSection.adverseEventsModule.seriousEvents, term 'Normal pressure hydrocephalus', group EG002 (Tominersen 120 mg Q16W)",public_domain,MedDRA organ class: Nervous system disorders. Trial: An Open-Label Extension Study to Evaluate Long-Term Safety and Tolerability of RO7234292 (. Treated arm.
