nct_id,drug,route,route_evidence,has_adverse_event_module,overall_status,brief_title,conditions,interventions,excluded_reason
NCT00094835,imetelstat,intravenous,Panitumumab 9.0 mg/kg on Day 1 of each 21-day cycle administered by intravenous infusion over approximately 60 minutes. Motesanib diphosphate Dose-finding with an initia,TRUE,COMPLETED,Study to Evaluate Motesanib With or Without Carboplatin/Paclitaxel or Panitumumab in the Treatment of Patients With Advanced Non-Small Cell Lung Cancer (NSCLC),Lung Cancer; Non-Small Cell Lung Cancer,Panitumumab Motesanib diphosphate Paclitaxel Carboplatin,
NCT00101907,imetelstat,intravenous,assignment starting on day 1 of Cycle 1. Panitumumab Panitumumab will be administered by intravenous (IV) infusion at a dose of 9 mg/kg on Day 1 of each 3-week cycle. Gemcitabine Gemcitabine,TRUE,TERMINATED,Safety of AMG 706 Plus Panitumumab Plus Gemcitabine-Cisplatin in the Treatment of Patients With Advanced Cancer,Lung Cancer; Pancreatic Cancer; Esophageal Cancer,AMG 706 Panitumumab Gemcitabine Cisplatin,
NCT00138658,custirsen,intravenous,"custirsen sodium Custirsen sodium (OGX-011) was to be infused intravenously over 2 hours on Days -7, -5, and 3 of Cycle 1 (pretreatment loading dose). OGX 011 was",TRUE,COMPLETED,A Study of OGX-011/Gemcitabine/Platinum-Based Regimen in Stage IIIB/IV Non-Small Cell Lung Cancer (NSCLC),Non-small Cell Lung Cancer,custirsen sodium,
NCT00159250,eteplirsen,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Safety and Efficacy Study of Antisense Oligonucleotides in Duchenne Muscular Dystrophy,Duchenne Muscular Dystrophy,AVI-4658 (PMO),
NCT00239928,pegaptanib,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Clinical Study Of Pegaptanib Sodium (EYE001) For Wet-Type Age-Related Macular Degeneration,Macular Degeneration,pegaptanib sodium,
NCT00242580,pegaptanib,intravitreal,minutes after the start of infusion. Pegaptanib Pegaptanib sodium 0.3 mg administered by intravitreal injection. Triamcinolone acetonide Triamcinolone acetonide administered by intravitreal i,TRUE,COMPLETED,A Safety and Efficacy Study Comparing the Combination Treatments of Verteporfin Therapy Plus One of Two Different Doses of Intravitreal Triamcinolone Acetonide and the Verteporfin ,Macular Degeneration; Choroidal Neovascularization,Verteporfin photodynamic therapy Pegaptanib Triamcinolone acetonide,
NCT00324116,pegaptanib,intravitreal,pegaptanib sodium (Macugen) 0.3 MG/eye pegaptanib IB sodium by intravitreous injection given every 6 weeks for 54 weeks.,TRUE,COMPLETED,Evaluation Of Safety And Efficacy Of 0.3 Mg/Eye Macugen In Patients With Small Age-Related Macular Degeneration Lesions,Macular Degeneration,pegaptanib sodium (Macugen),
NCT00327340,custirsen,intravenous,"twice daily, 10 mg/day) continued through completion of the final treatment cycle. Three IV administrations of OGX-011 (640 mg) were given as 2 hr infusions during the loading dose",TRUE,COMPLETED,Evaluation of Safety and Feasibility of OGX-011 in Combination With 2nd-line Chemotherapy in Patients With HRPC,Prostate Cancer,custirsen (OGX-011)/mitoxantrone custirsen (OGX-011)/docetaxel,
NCT00327470,pegaptanib,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,TERMINATED,An Open Label Trial to Investigate Macugen for the Preservation of Visual Function in Subjects With Neovascular AMD,Age Related Macular Degeneration (AMD); Macular Degeneration; Choroidal Neovascularization (CNV),Pegaptanib Sodium 0.3 mg,
NCT00358501,defibrotide,intravenous,fibrotide Defibrotide 6.25 mg/kg i.v. administered four times a day via 2 hour continuous infusion. Minimum duration 21 days. Defibrotide treatment Historical control group,TRUE,COMPLETED,Defibrotide for the Treatment of Severe Hepatic Veno-Occlusive Disease in Hematopoetic Stem Cell Transplant Patients,Severe Hepatic Veno-Occlusive Disease,Defibrotide,
NCT00362180,mipomersen,subcutaneous,mipomersen 200 mg subcutaneous injections Placebo subcutaneous injections Healthy volunteers treated with 6 injections o,TRUE,COMPLETED,Measure Liver Fat Content After ISIS 301012 (Mipomersen) Administration,"Lipid Metabolism, Inborn Errors; Hyperlipidemias; Metabolic Diseases; Hypolipoproteinemia; Hypolipoproteinemias; Hypobetalipoproteinemias; Metabolism, Inborn Errors; Genetic Diseas",mipomersen Placebo,
NCT00406107,pegaptanib,intravitreal,pegaptanib sodium (Macugen) Subjects were randomized 3:1 to intravitreous injections of pegaptanib 0.3mg or 1mg at baseline and at weeks 6 and 12 with subsequent i,TRUE,COMPLETED,Evaluation of Macugen Treatment of Macular Edema Due to Branch Retinal Vein Occlusion,Branch Retinal Vein Occlusion,pegaptanib sodium (Macugen),
NCT00427349,imetelstat,oral,nd with the first day of AMG 706 and then on day 1 of subsequent cycles. Patients receive oral AMG 706 and octreotide acetate intramuscularly (IM) once daily on days 1-28. Treatment re,TRUE,COMPLETED,AMG 706 and Octreotide in Treating Patients With Low-Grade Neuroendocrine Tumors,Gastrointestinal Carcinoid Tumor; Islet Cell Tumor; Neoplastic Syndrome,AMG 706 octreotide,
NCT00460408,pegaptanib,intravitreal,Macugen Intravitreal injection of Macugen 0.3mg/90ul every 6 weeks. Observational study of patients with AMD t,TRUE,COMPLETED,Ocular Safety Of Patients Receiving Macugen For Neovascular Age Related Macular Degeneration,Macular Degeneration,Macugen,
NCT00477594,mipomersen,subcutaneous,"mipomersen sodium 200 mg/ml, in 1 ml solution for subcutaneous injection. Participants received 200 mg mipomersen once a week by subcutaneous injection,",TRUE,COMPLETED,Open Label Extension of ISIS 301012 (Mipomersen) to Treat Familial Hypercholesterolemia,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyperlipidemias; Metabolic Diseases; Hyperlipoproteinemia Type II; Metabolism, Inborn Errors; Genetic Dis",mipomersen sodium,
NCT00549055,pegaptanib,intravitreal,Macugen Dosage form: solution for injection (intravitreal) Dosage: 0.3mg Frequency: every 6 weeks (9 injections/year) Patients who obtained reimbur,TRUE,COMPLETED,A Study On The Efficacy Of Macugen Injections In Patients With Neovascular Age-Related Macular Degeneration In Real Life.,Neovascular Age-related Macular Degeneration,Macugen,
NCT00574951,imetelstat,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,TERMINATED,"AMG 706 in Treating Patients With Persistent or Recurrent Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer",Fallopian Tube Cancer; Ovarian Cancer; Primary Peritoneal Cavity Cancer,motesanib diphosphate,
NCT00605280,pegaptanib,intravitreal,Standard of Care Clinicians decision to use optional laser therapy. Macugen Intravitreal injection of Macugen 0.3mg/90ul every 6 weeks up to 2 years.,TRUE,COMPLETED,A Multi-Center Trial To Evaluate The Safety And Efficacy Of Pegaptanib Sodium(Macugen) Injected Into The Eye Every 6 Weeks For Up To 2 Years For Macular Swelling Associated With Di,Macular Edema Associated With Diabetes Mellitus,Standard of Care Macugen,
NCT00607373,mipomersen,subcutaneous,mipomersen 200 mg mipomersen administered once a week for 26 weeks as a 1 mL subcutaneous injection. Subjects weighing less than 50 kg received a lower dose of 160 mg (0.8mL) mipo,TRUE,COMPLETED,Study to Assess the Safety and Efficacy of ISIS 301012 (Mipomersen) in Homozygous Familial Hypercholesterolemia,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyperlipidemias; Metabolic Diseases; Hyperlipoproteinemia Type II; Metabolism, Inborn Errors; Genetic Dis",mipomersen Placebo,
NCT00628498,defibrotide,intravenous,lytic properties but no significant systemic anti-coagulant effects. Defibrotide is dose intravenously as a 2-hour infusion every 6 hours at a dose of 25 mg/kg/day. Recommended duration of t,TRUE,COMPLETED,Defibrotide for Patients With Hepatic Veno-occlusive Disease: A Treatment IND Study,Hepatic Veno-Occlusive Disease,Defibrotide Defibrotide,
NCT00694109,mipomersen,subcutaneous,"Mipomersen Sodium Subcutaneous injection as a single injection directly into the abdomen, thigh, or outer area of the up",TRUE,COMPLETED,An Open-label Extension Study to Assess the Long-term Safety and Efficacy of ISIS 301012 (Mipomersen) in Patients With Familial Hypercholesterolemia or Severe-Hypercholesterolemia,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyperlipidemias; Metabolic Diseases; Hyperlipoproteinemia Type II; Metabolism, Inborn Errors; Genetic Dis",Mipomersen Sodium,
NCT00706849,mipomersen,subcutaneous,ium 200 mg /mL placebo 1 mL matching placebo Participants received mipomersen 200 mg as a subcutaneous injection once a week for 26 weeks. Participants received a placebo subcutaneous injectio,TRUE,COMPLETED,Efficacy and Safety Study of ISIS 301012 (Mipomersen) as Add-on in Familial Hypercholesterolemic Patients With Coronary Artery Disease,Heterozygous Familial Hypercholesterolemia; Coronary Artery Disease,mipomersen sodium placebo,
