nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT00094835,Paclitaxel/Carboplatin + Motesanib 125 mg QD,imetelstat,exposed,0,11,0,0,0,0,none,0,intravenous,0,Lung Cancer; Non-Small Cell Lung Cancer,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00094835,Paclitaxel/Carboplatin + Motesanib 50 mg QD,imetelstat,exposed,0,6,0,0,0,0,none,0,intravenous,0,Lung Cancer; Non-Small Cell Lung Cancer,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00094835,Paclitaxel/Carboplatin + Motesanib 75 mg BID,imetelstat,exposed,0,6,0,0,0,0,none,0,intravenous,0,Lung Cancer; Non-Small Cell Lung Cancer,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00094835,Panitumumab + Motesanib 125 mg QD,imetelstat,exposed,0,7,0,0,0,0,none,0,intravenous,0,Lung Cancer; Non-Small Cell Lung Cancer,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00094835,Panitumumab + Motesanib 50 mg QD,imetelstat,exposed,0,4,0,0,0,0,none,0,intravenous,0,Lung Cancer; Non-Small Cell Lung Cancer,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00094835,Panitumumab + Motesanib 75 mg BID,imetelstat,exposed,0,5,0,0,0,0,none,0,intravenous,0,Lung Cancer; Non-Small Cell Lung Cancer,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00094835,Panitumumab + Paclitaxel/Carboplatin + Motesanib 125 mg QD,imetelstat,exposed,0,6,0,0,0,0,none,0,intravenous,0,Lung Cancer; Non-Small Cell Lung Cancer,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00101907,100 mg QD AMG 706 + Panitumumab + Gem/Cis,imetelstat,exposed,0,6,0,0,0,0,none,0,intravenous,0,Lung Cancer; Pancreatic Cancer; Esophageal Cancer,other,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT00101907,125 mg QD AMG 706 + Panitumumab + Gem/CisEdit,imetelstat,exposed,0,11,0,0,0,0,none,0,intravenous,0,Lung Cancer; Pancreatic Cancer; Esophageal Cancer,other,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT00101907,50 mg QD AMG 706 + Panitumumab + Gem/Cis,imetelstat,exposed,0,8,0,0,0,0,none,0,intravenous,0,Lung Cancer; Pancreatic Cancer; Esophageal Cancer,other,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
