ClinicalTrials.gov extraction audit trail
============================================================
payloads scanned: 234
rows emitted: 765

NCT00094835 (imetelstat) — 39 serious terms, 191 other terms, threshold=5, tierA_serious=no
NCT00101907 (imetelstat) — 42 serious terms, 246 other terms, threshold=5, tierA_serious=no
NCT00138658 (custirsen) — 40 serious terms, 85 other terms, threshold=5, tierA_serious=no
NCT00159250 (eteplirsen) — 0 serious terms, 5 other terms, threshold=0, tierA_serious=no
NCT00239928 (pegaptanib) — 20 serious terms, 11 other terms, threshold=5, tierA_serious=no
NCT00242580 (pegaptanib) — 36 serious terms, 58 other terms, threshold=5, tierA_serious=no
NCT00324116 (pegaptanib) — 9 serious terms, 5 other terms, threshold=5, tierA_serious=no
NCT00327340 (custirsen) — 23 serious terms, 67 other terms, threshold=5, tierA_serious=no
NCT00327470 (pegaptanib) — 59 serious terms, 266 other terms, threshold=0, tierA_serious=no
NCT00358501 (defibrotide) — 83 serious terms, 23 other terms, threshold=5, tierA_serious=no
NCT00362180 (mipomersen) — 1 serious terms, 115 other terms, threshold=0, tierA_serious=no
NCT00406107 (pegaptanib) — 0 serious terms, 1 other terms, threshold=5, tierA_serious=no
NCT00427349 (imetelstat) — 33 serious terms, 37 other terms, threshold=5, tierA_serious=no
NCT00460408 (pegaptanib) — 26 serious terms, 56 other terms, threshold=0, tierA_serious=no
NCT00477594 (mipomersen) — 6 serious terms, 121 other terms, threshold=0, tierA_serious=no
NCT00549055 (pegaptanib) — 0 serious terms, 1 other terms, threshold=5, tierA_serious=no
NCT00574951 (imetelstat) — 10 serious terms, 61 other terms, threshold=0, tierA_serious=no
NCT00605280 (pegaptanib) — 97 serious terms, 33 other terms, threshold=5, tierA_serious=no
NCT00607373 (mipomersen) — 3 serious terms, 93 other terms, threshold=0, tierA_serious=no
NCT00628498 (defibrotide) — 278 serious terms, 3 other terms, threshold=5, tierA_serious=YES
NCT00694109 (mipomersen) — 45 serious terms, 508 other terms, threshold=0, tierA_serious=no
NCT00706849 (mipomersen) — 8 serious terms, 274 other terms, threshold=0, tierA_serious=no
NCT00707746 (mipomersen) — 1 serious terms, 149 other terms, threshold=0, tierA_serious=no
