Cases,Age Group,Sex,Sex
0,Not Specified,Not Specified,Not Specified
1,0-1 Month,Not Specified,Not Specified
4,2 Months - 2 Years,Not Specified,Not Specified
10,3-11 Years,Not Specified,Not Specified
6,12-17 Years,Not Specified,Not Specified
3,18-64 Years,Not Specified,Not Specified
0,65-85 Years,Not Specified,Not Specified
0,More than 85 Years,Not Specified,Not Specified
3,Not Specified,Male,Male
0,0-1 Month,Male,Male
0,2 Months - 2 Years,Male,Male
2,3-11 Years,Male,Male
1,12-17 Years,Male,Male
1,18-64 Years,Male,Male
0,65-85 Years,Male,Male
0,More than 85 Years,Male,Male
1,Not Specified,Female,Female
0,0-1 Month,Female,Female
0,2 Months - 2 Years,Female,Female
1,3-11 Years,Female,Female
0,12-17 Years,Female,Female
0,18-64 Years,Female,Female
0,65-85 Years,Female,Female
0,More than 85 Years,Female,Female
