Cases,Age Group,Sex,Sex
113,Not Specified,Not Specified,Not Specified
0,0-1 Month,Not Specified,Not Specified
0,2 Months - 2 Years,Not Specified,Not Specified
6,3-11 Years,Not Specified,Not Specified
1,12-17 Years,Not Specified,Not Specified
1,18-64 Years,Not Specified,Not Specified
0,65-85 Years,Not Specified,Not Specified
0,More than 85 Years,Not Specified,Not Specified
44,Not Specified,Male,Male
0,0-1 Month,Male,Male
4,2 Months - 2 Years,Male,Male
23,3-11 Years,Male,Male
16,12-17 Years,Male,Male
46,18-64 Years,Male,Male
0,65-85 Years,Male,Male
0,More than 85 Years,Male,Male
35,Not Specified,Female,Female
0,0-1 Month,Female,Female
2,2 Months - 2 Years,Female,Female
27,3-11 Years,Female,Female
21,12-17 Years,Female,Female
44,18-64 Years,Female,Female
0,65-85 Years,Female,Female
0,More than 85 Years,Female,Female
