substance,ev_code,soc,cases
NUSINERSEN,12676156,Blood and lymphatic system disorders,62
NUSINERSEN,12676156,Cardiac disorders,185
NUSINERSEN,12676156,"Congenital, familial and genetic disorders",88
NUSINERSEN,12676156,Ear and labyrinth disorders,21
NUSINERSEN,12676156,Endocrine disorders,11
NUSINERSEN,12676156,Eye disorders,46
NUSINERSEN,12676156,Gastrointestinal disorders,345
NUSINERSEN,12676156,General disorders and administration site conditions,694
NUSINERSEN,12676156,Hepatobiliary disorders,31
NUSINERSEN,12676156,Immune system disorders,31
NUSINERSEN,12676156,Infections and infestations,995
NUSINERSEN,12676156,"Injury, poisoning and procedural complications",942
NUSINERSEN,12676156,Investigations,421
NUSINERSEN,12676156,Metabolism and nutrition disorders,160
NUSINERSEN,12676156,Musculoskeletal and connective tissue disorders,499
NUSINERSEN,12676156,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",47
NUSINERSEN,12676156,Nervous system disorders,649
NUSINERSEN,12676156,"Pregnancy, puerperium and perinatal conditions",22
NUSINERSEN,12676156,Product issues,22
NUSINERSEN,12676156,Psychiatric disorders,110
NUSINERSEN,12676156,Renal and urinary disorders,125
NUSINERSEN,12676156,Reproductive system and breast disorders,17
NUSINERSEN,12676156,"Respiratory, thoracic and mediastinal disorders",524
NUSINERSEN,12676156,Skin and subcutaneous tissue disorders,79
NUSINERSEN,12676156,Social circumstances,1
NUSINERSEN,12676156,Surgical and medical procedures,55
NUSINERSEN,12676156,Vascular disorders,94
TOFERSEN,35379873,Blood and lymphatic system disorders,2
TOFERSEN,35379873,Cardiac disorders,10
TOFERSEN,35379873,"Congenital, familial and genetic disorders",0
TOFERSEN,35379873,Ear and labyrinth disorders,4
TOFERSEN,35379873,Endocrine disorders,0
TOFERSEN,35379873,Eye disorders,12
TOFERSEN,35379873,Gastrointestinal disorders,12
TOFERSEN,35379873,General disorders and administration site conditions,48
TOFERSEN,35379873,Hepatobiliary disorders,0
TOFERSEN,35379873,Immune system disorders,3
TOFERSEN,35379873,Infections and infestations,65
TOFERSEN,35379873,"Injury, poisoning and procedural complications",49
TOFERSEN,35379873,Investigations,62
TOFERSEN,35379873,Metabolism and nutrition disorders,11
TOFERSEN,35379873,Musculoskeletal and connective tissue disorders,30
TOFERSEN,35379873,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2
TOFERSEN,35379873,Nervous system disorders,141
TOFERSEN,35379873,"Pregnancy, puerperium and perinatal conditions",0
TOFERSEN,35379873,Product issues,1
TOFERSEN,35379873,Psychiatric disorders,12
TOFERSEN,35379873,Renal and urinary disorders,6
TOFERSEN,35379873,Reproductive system and breast disorders,0
TOFERSEN,35379873,"Respiratory, thoracic and mediastinal disorders",37
TOFERSEN,35379873,Skin and subcutaneous tissue disorders,3
TOFERSEN,35379873,Social circumstances,0
TOFERSEN,35379873,Surgical and medical procedures,0
TOFERSEN,35379873,Vascular disorders,14
