query,ingredient,trade_name,vigibase_total_adrs,soc,soc_adrs,pt,pt_adrs
nusinersen,Nusinersen,,9713,Eye disorders,86,Papilloedema,10
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Meningitis,25
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Meningitis aseptic,25
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Meningitis bacterial,18
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Meningitis staphylococcal,3
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Meningitis enterococcal,1
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Meningitis pneumococcal,1
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Meningitis streptococcal,1
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Post procedural meningitis,1
nusinersen,Nusinersen,,9713,Infections and infestations,2060,Shunt infection,1
nusinersen,Nusinersen,,9713,"Injury, poisoning and procedural complications",2415,Post lumbar puncture syndrome,829
nusinersen,Nusinersen,,9713,"Injury, poisoning and procedural complications",2415,Traumatic lumbar puncture,30
nusinersen,Nusinersen,,9713,"Injury, poisoning and procedural complications",2415,Meningitis chemical,7
nusinersen,Nusinersen,,9713,"Injury, poisoning and procedural complications",2415,Cerebral ventricle collapse,1
nusinersen,Nusinersen,,9713,"Injury, poisoning and procedural complications",2415,Shunt malfunction,1
nusinersen,Nusinersen,,9713,"Injury, poisoning and procedural complications",2415,Traumatic intracranial haemorrhage,1
nusinersen,Nusinersen,,9713,Investigations,1017,CSF pressure increased,43
nusinersen,Nusinersen,,9713,Investigations,1017,CSF protein increased,26
nusinersen,Nusinersen,,9713,Investigations,1017,CSF test abnormal,13
nusinersen,Nusinersen,,9713,Investigations,1017,CSF white blood cell count increased,6
nusinersen,Nusinersen,,9713,Investigations,1017,CSF red blood cell count positive,5
nusinersen,Nusinersen,,9713,Investigations,1017,CSF glucose decreased,3
nusinersen,Nusinersen,,9713,Investigations,1017,CSF lactate increased,2
nusinersen,Nusinersen,,9713,Investigations,1017,CSF volume increased,2
nusinersen,Nusinersen,,9713,Investigations,1017,CSF cell count increased,1
nusinersen,Nusinersen,,9713,Investigations,1017,CSF immunoglobulin increased,1
nusinersen,Nusinersen,,9713,Investigations,1017,CSF oligoclonal band present,1
nusinersen,Nusinersen,,9713,Investigations,1017,CSF pressure decreased,1
nusinersen,Nusinersen,,9713,Investigations,1017,CSF test,1
nusinersen,Nusinersen,,9713,Investigations,1017,CSF white blood cell count positive,1
nusinersen,Nusinersen,,9713,Investigations,1017,CSF volume decreased,1
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Cerebrospinal fluid leakage,73
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Intracranial pressure increased,42
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Hydrocephalus,29
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Pleocytosis,10
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Arachnoiditis,6
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Cerebral ventricle dilatation,6
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Intracranial hypotension,6
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Arachnoid cyst,4
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Meningism,4
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Subarachnoid haemorrhage,4
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Cerebrospinal fistula,3
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Idiopathic intracranial hypertension,3
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Intraventricular haemorrhage,2
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Cerebrospinal fluid circulation disorder,1
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Hypertensive hydrocephalus,1
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Intracranial aneurysm,1
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Meningitis noninfective,1
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Normal pressure hydrocephalus,1
nusinersen,Nusinersen,,9713,Nervous system disorders,1778,Spinal subarachnoid haemorrhage,1
nusinersen,Nusinersen,,9713,Surgical and medical procedures,84,Cerebrospinal fluid reservoir placement,5
nusinersen,Nusinersen,,9713,Surgical and medical procedures,84,Blood brain barrier disruption therapy,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Eye disorders,86,Papilloedema,10
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Meningitis,25
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Meningitis aseptic,25
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Meningitis bacterial,18
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Meningitis staphylococcal,3
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Meningitis enterococcal,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Meningitis pneumococcal,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Meningitis streptococcal,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Post procedural meningitis,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Infections and infestations,2060,Shunt infection,1
nusinersen,Nusinersen,Nusinersen sodium,9713,"Injury, poisoning and procedural complications",2415,Post lumbar puncture syndrome,829
nusinersen,Nusinersen,Nusinersen sodium,9713,"Injury, poisoning and procedural complications",2415,Traumatic lumbar puncture,30
nusinersen,Nusinersen,Nusinersen sodium,9713,"Injury, poisoning and procedural complications",2415,Meningitis chemical,7
nusinersen,Nusinersen,Nusinersen sodium,9713,"Injury, poisoning and procedural complications",2415,Cerebral ventricle collapse,1
nusinersen,Nusinersen,Nusinersen sodium,9713,"Injury, poisoning and procedural complications",2415,Shunt malfunction,1
nusinersen,Nusinersen,Nusinersen sodium,9713,"Injury, poisoning and procedural complications",2415,Traumatic intracranial haemorrhage,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF pressure increased,43
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF protein increased,26
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF test abnormal,13
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF white blood cell count increased,6
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF red blood cell count positive,5
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF glucose decreased,3
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF lactate increased,2
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF volume increased,2
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF cell count increased,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF immunoglobulin increased,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF oligoclonal band present,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF pressure decreased,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF test,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF white blood cell count positive,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Investigations,1017,CSF volume decreased,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Cerebrospinal fluid leakage,73
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Intracranial pressure increased,42
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Hydrocephalus,29
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Pleocytosis,10
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Arachnoiditis,6
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Cerebral ventricle dilatation,6
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Intracranial hypotension,6
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Arachnoid cyst,4
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Meningism,4
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Subarachnoid haemorrhage,4
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Cerebrospinal fistula,3
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Idiopathic intracranial hypertension,3
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Intraventricular haemorrhage,2
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Cerebrospinal fluid circulation disorder,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Hypertensive hydrocephalus,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Intracranial aneurysm,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Meningitis noninfective,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Normal pressure hydrocephalus,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Nervous system disorders,1778,Spinal subarachnoid haemorrhage,1
nusinersen,Nusinersen,Nusinersen sodium,9713,Surgical and medical procedures,84,Cerebrospinal fluid reservoir placement,5
nusinersen,Nusinersen,Nusinersen sodium,9713,Surgical and medical procedures,84,Blood brain barrier disruption therapy,1
tofersen,Tofersen,Tofersen,657,Eye disorders,24,Papilloedema,10
tofersen,Tofersen,Tofersen,657,Eye disorders,24,Pseudopapilloedema,1
tofersen,Tofersen,Tofersen,657,Infections and infestations,125,Meningitis aseptic,40
tofersen,Tofersen,Tofersen,657,Infections and infestations,125,Meningitis,4
tofersen,Tofersen,Tofersen,657,Infections and infestations,125,Meningitis bacterial,1
tofersen,Tofersen,Tofersen,657,Infections and infestations,125,Meningitis streptococcal,1
tofersen,Tofersen,Tofersen,657,"Injury, poisoning and procedural complications",155,Post lumbar puncture syndrome,50
tofersen,Tofersen,Tofersen,657,"Injury, poisoning and procedural complications",155,Traumatic lumbar puncture,8
tofersen,Tofersen,Tofersen,657,"Injury, poisoning and procedural complications",155,Meningitis chemical,2
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF protein increased,47
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF protein abnormal,20
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF cell count abnormal,18
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF cell count increased,11
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF white blood cell count increased,11
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF red blood cell count positive,4
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF glucose abnormal,3
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF lymphocyte count increased,3
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF test abnormal,3
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF immunoglobulin increased,2
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF volume decreased,2
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF pressure decreased,1
tofersen,Tofersen,Tofersen,657,Investigations,125,CSF pressure increased,1
tofersen,Tofersen,Tofersen,657,Investigations,125,Lumbar puncture abnormal,1
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Pleocytosis,19
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Intracranial pressure increased,10
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Cerebrospinal fluid leakage,3
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Intracranial hypotension,2
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Arachnoiditis,1
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Haemorrhage intracranial,1
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Hydrocephalus,1
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Idiopathic intracranial hypertension,1
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Intracranial aneurysm,1
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Meningism,1
tofersen,Tofersen,Tofersen,657,Nervous system disorders,247,Normal pressure hydrocephalus,1
tofersen,Tofersen,,657,Eye disorders,24,Papilloedema,10
tofersen,Tofersen,,657,Eye disorders,24,Pseudopapilloedema,1
tofersen,Tofersen,,657,Infections and infestations,125,Meningitis aseptic,40
tofersen,Tofersen,,657,Infections and infestations,125,Meningitis,4
tofersen,Tofersen,,657,Infections and infestations,125,Meningitis bacterial,1
tofersen,Tofersen,,657,Infections and infestations,125,Meningitis streptococcal,1
tofersen,Tofersen,,657,"Injury, poisoning and procedural complications",155,Post lumbar puncture syndrome,50
tofersen,Tofersen,,657,"Injury, poisoning and procedural complications",155,Traumatic lumbar puncture,8
tofersen,Tofersen,,657,"Injury, poisoning and procedural complications",155,Meningitis chemical,2
tofersen,Tofersen,,657,Investigations,125,CSF protein increased,47
tofersen,Tofersen,,657,Investigations,125,CSF protein abnormal,20
tofersen,Tofersen,,657,Investigations,125,CSF cell count abnormal,18
tofersen,Tofersen,,657,Investigations,125,CSF cell count increased,11
tofersen,Tofersen,,657,Investigations,125,CSF white blood cell count increased,11
tofersen,Tofersen,,657,Investigations,125,CSF red blood cell count positive,4
tofersen,Tofersen,,657,Investigations,125,CSF glucose abnormal,3
tofersen,Tofersen,,657,Investigations,125,CSF lymphocyte count increased,3
tofersen,Tofersen,,657,Investigations,125,CSF test abnormal,3
tofersen,Tofersen,,657,Investigations,125,CSF immunoglobulin increased,2
tofersen,Tofersen,,657,Investigations,125,CSF volume decreased,2
tofersen,Tofersen,,657,Investigations,125,CSF pressure decreased,1
tofersen,Tofersen,,657,Investigations,125,CSF pressure increased,1
tofersen,Tofersen,,657,Investigations,125,Lumbar puncture abnormal,1
tofersen,Tofersen,,657,Nervous system disorders,247,Pleocytosis,19
tofersen,Tofersen,,657,Nervous system disorders,247,Intracranial pressure increased,10
tofersen,Tofersen,,657,Nervous system disorders,247,Cerebrospinal fluid leakage,3
tofersen,Tofersen,,657,Nervous system disorders,247,Intracranial hypotension,2
tofersen,Tofersen,,657,Nervous system disorders,247,Arachnoiditis,1
tofersen,Tofersen,,657,Nervous system disorders,247,Haemorrhage intracranial,1
tofersen,Tofersen,,657,Nervous system disorders,247,Hydrocephalus,1
tofersen,Tofersen,,657,Nervous system disorders,247,Idiopathic intracranial hypertension,1
tofersen,Tofersen,,657,Nervous system disorders,247,Intracranial aneurysm,1
tofersen,Tofersen,,657,Nervous system disorders,247,Meningism,1
tofersen,Tofersen,,657,Nervous system disorders,247,Normal pressure hydrocephalus,1
tofersen,Mycophenolic acid,Moferen,90071,"Congenital, familial and genetic disorders",525,Ventricular septal defect,18
tofersen,Mycophenolic acid,Moferen,90071,"Congenital, familial and genetic disorders",525,Double outlet right ventricle,4
tofersen,Mycophenolic acid,Moferen,90071,"Congenital, familial and genetic disorders",525,Atrioventricular septal defect,2
tofersen,Mycophenolic acid,Moferen,90071,"Congenital, familial and genetic disorders",525,Left ventricle outflow tract obstruction,2
tofersen,Mycophenolic acid,Moferen,90071,"Congenital, familial and genetic disorders",525,Choroidal coloboma,1
tofersen,Mycophenolic acid,Moferen,90071,"Congenital, familial and genetic disorders",525,Congenital choroid plexus cyst,1
