ingredient,vigibase_total_adrs,hydro_family
Casimersen,712,none
Eplontersen,510,none
Eteplirsen,1996,none
Givosiran,1565,none
Golodirsen,386,none
Inclisiran,10945,Cerebral ventricle dilatation=1
Inotersen,2133,none
Nusinersen,9713,Cerebral ventricle dilatation=6; Cerebrospinal fluid circulation disorder=1; Hydrocephalus=29; Hypertensive hydrocephalus=1; Normal pressure hydrocephalus=1
Patisiran,3537,Hydrocephalus=1
Tofersen,657,Hydrocephalus=1; Normal pressure hydrocephalus=1
Tominersen,0,none
Viltolarsen,132,none
Volanesorsen,713,none
Vutrisiran,2281,Hydrocephalus=1
