2012-001461-32	SER	Intracranial pressure increased	arms=2	0/315; 1/312
2012-001461-32	SER	Papilloedema	arms=2	1/315; 0/312
2014-001947-18	SER	Post lumbar puncture syndrome	arms=2	1/84; 0/42
2014-002053-19	SER	Hydrocephalus	arms=7	0/2; 0/2; 0/2; 0/10; 0/3; 1/15; 0/4
2014-002053-19	NON	Hydrocephalus	arms=7	0/2; 0/2; 0/2; 0/10; 0/3; 1/15; 0/4
2014-002098-12	NON	Post lumbar puncture syndrome	arms=2	2/15; 4/10
2015-001870-16	SER	Post lumbar puncture syndrome	arms=9	0/13; 0/24; 0/65; 0/12; 0/8; 2/25; 0/20; 2/42; 4/83
2015-001870-16	NON	Post lumbar puncture syndrome	arms=9	2/13; 4/24; 4/65; 0/12; 2/8; 15/25; 13/20; 7/42; 21/83
2015-001870-16	NON	Intracranial pressure increased	arms=9	0/13; 0/24; 0/65; 1/12; 1/8; 0/25; 0/20; 0/42; 0/83
2015-004098-33	SER	Csf protein increased	arms=12	0/3; 0/3; 0/3; 0/6; 0/5; 0/10; 0/9; 1/9; 0/10; 0/12; 0/72; 0/36
2015-004098-33	SER	Csf white blood cell count increased	arms=12	0/3; 0/3; 0/3; 0/6; 0/5; 0/10; 0/9; 1/9; 0/10; 0/12; 0/72; 0/36
2015-004098-33	NON	Csf protein increased	arms=12	0/3; 0/3; 0/3; 0/6; 0/5; 0/10; 0/9; 3/9; 1/10; 1/12; 6/72; 1/36
2015-004098-33	NON	Csf white blood cell count increased	arms=12	0/3; 0/3; 0/3; 0/6; 0/5; 0/10; 1/9; 2/9; 0/10; 0/12; 7/72; 0/36
2015-004098-33	NON	Post lumbar puncture syndrome	arms=12	0/3; 0/3; 0/3; 0/6; 1/5; 4/10; 3/9; 3/9; 3/10; 3/12; 13/72; 11/36
2016-003225-41	SER	Intracranial pressure increased	arms=3	1/32; 1/44; 1/63
2016-003225-41	SER	Papilloedema	arms=3	1/32; 0/44; 0/63
2016-003225-41	SER	Meningitis aseptic	arms=3	1/32; 0/44; 0/63
2016-003225-41	NON	Csf protein increased	arms=3	7/32; 15/44; 15/63
2016-003225-41	NON	Csf glucose increased	arms=3	0/32; 2/44; 4/63
2016-003225-41	NON	Csf white blood cell count increased	arms=3	2/32; 11/44; 15/63
2016-003225-41	NON	Post lumbar puncture syndrome	arms=3	6/32; 13/44; 15/63
2016-003225-41	NON	Intracranial pressure increased	arms=3	2/32; 0/44; 4/63
2016-003225-41	NON	Papilloedema	arms=3	2/32; 1/44; 3/63
2016-005142-39	NON	CSF protein increased	arms=7	0/22; 0/9; 1/12; 0/15; 0/8; 0/9; 1/13
2016-005142-39	NON	Post lumbar puncture syndrome	arms=7	2/22; 0/9; 3/12; 2/15; 1/8; 0/9; 1/13
2017-000327-27	SER	Post lumbar puncture syndrome	arms=4	0/8; 0/9; 1/9; 0/8
2017-000327-27	NON	Post lumbar puncture syndrome	arms=4	3/8; 3/9; 5/9; 1/8
2017-000621-12	NON	Cerebrospinal fluid leakage	arms=2	1/16; 0/4
2017-002471-25	SER	Hydrocephalus	arms=2	0/23; 1/23
2017-002471-25	NON	CSF white blood cell count increased	arms=2	0/23; 2/23
2017-002471-25	NON	CSF protein increased	arms=2	1/23; 2/23
2017-002471-25	NON	Post lumbar puncture syndrome	arms=2	5/23; 4/23
2018-002987-14	SER	Post lumbar puncture syndrome	arms=6	1/36; 0/36; 0/36; 3/263; 0/264; 1/264
2018-002987-14	SER	Hydrocephalus	arms=6	0/36; 0/36; 0/36; 2/263; 0/264; 0/264
2018-002987-14	SER	Meningitis aseptic	arms=6	0/36; 0/36; 0/36; 1/263; 0/264; 0/264
2018-002987-14	NON	CSF protein increased	arms=6	0/36; 3/36; 0/36; 13/263; 1/264; 2/264
2018-002987-14	NON	Post lumbar puncture syndrome	arms=6	4/36; 3/36; 7/36; 24/263; 18/264; 21/264
2018-003898-94	SER	Normal pressure hydrocephalus	arms=3	0/14; 0/88; 1/143
2018-003898-94	SER	Meningitis aseptic	arms=3	0/14; 0/88; 1/143
2018-003898-94	NON	CSF protein increased	arms=3	1/14; 4/88; 2/143
2018-003898-94	NON	Post lumbar puncture syndrome	arms=3	0/14; 2/88; 11/143
2018-004383-65	SER	Post lumbar puncture syndrome	arms=1	1/58
2018-004383-65	NON	Post lumbar puncture syndrome	arms=1	6/58
2019-002178-30	SER	Meningitis aseptic	arms=4	0/8; 0/18; 2/35; 0/17
2019-002178-30	NON	CSF lymphocyte count increased	arms=4	0/8; 2/18; 5/35; 0/17
2019-002178-30	NON	CSF protein increased	arms=4	0/8; 3/18; 7/35; 4/17
2019-002178-30	NON	CSF test abnormal	arms=4	0/8; 0/18; 0/35; 3/17
2019-002178-30	NON	CSF white blood cell count	arms=4	0/8; 0/18; 2/35; 0/17
2019-002663-10	NON	CSF pressure increased	arms=6	0/6; 0/25; 0/50; 0/8; 0/16; 2/40
2019-002663-10	NON	CSF protein increased	arms=6	0/6; 0/25; 0/50; 0/8; 0/16; 1/40
2019-002663-10	NON	Intracranial pressure increased	arms=6	0/6; 0/25; 0/50; 0/8; 1/16; 0/40
2019-005007-40	NON	Post-puncture headache	arms=1	3/16
2020-005193-94	SER	Post lumbar puncture syndrome	arms=8	0/5; 0/2; 0/8; 1/5; 0/3; 0/7; 0/5; 0/9
2020-005193-94	NON	Post lumbar puncture syndrome	arms=8	2/5; 0/2; 2/8; 2/5; 0/3; 0/7; 1/5; 0/9

TOTAL matched AE rows (term x trial x section): 54
TOTAL dataset cells (term x arm): 267
