molecule,relation,oligo_id_here,also_under,oligo_id_there,sequence_check
eteplirsen,same_molecule_different_id,OLG016,chronic-neurotoxicity,CNS273,one_side_TBD
givosiran,same_molecule_different_id,OLG003,chronic-neurotoxicity,CNS274,one_side_TBD
golodirsen,same_molecule_different_id,OLG011,chronic-neurotoxicity,CNS275,sequences_agree
inclisiran,same_molecule_different_id,OLG007,chronic-neurotoxicity|hydrocephalus,CNS276,one_side_TBD
inotersen,same_molecule_different_id,OLG001,chronic-neurotoxicity,CNS277,sequences_agree
lumasiran,same_molecule_different_id,OLG020,chronic-neurotoxicity,CNS278,one_side_TBD
mipomersen,same_molecule_different_id,OLG006,chronic-neurotoxicity,CNS283,one_side_TBD
nedosiran,same_molecule_different_id,OLG021,chronic-neurotoxicity,CNS279,one_side_TBD
nusinersen,same_molecule_different_id,OLG004,chronic-neurotoxicity|hydrocephalus,CNS012,sequences_agree
patisiran,same_molecule_different_id,OLG019,chronic-neurotoxicity,CNS280,one_side_TBD
tofersen,same_molecule_different_id,OLG017,chronic-neurotoxicity|hydrocephalus,CNS013,sequences_agree
viltolarsen,same_molecule_different_id,OLG013,chronic-neurotoxicity,CNS284,one_side_TBD
volanesorsen,same_molecule_different_id,OLG005,chronic-neurotoxicity,CNS285,one_side_TBD
