oligo_id,oligo_name,oligo_class,sequence_known,n_human_clinical,n_human_invitro,n_animal_invivo,human_max_grade,animal_max_grade,concordance,human_species_models,animal_species
OLG001,inotersen,ASO_gapmer,TRUE,4,0,1,3,1,animal_under_predicts,case_report;patient_cohort,multi_species
OLG003,givosiran,GalNAc_siRNA,TRUE,2,0,1,2,1,animal_under_predicts,patient_cohort,rat
OLG008,drisapersen,splice_switching_ASO,TRUE,3,3,2,1,1,concordant,DMD_patients_n12;ciPTEC,monkey
OLG016,eteplirsen,PMO,TRUE,1,0,1,1,1,concordant,DMD_patients,rat
OLG020,lumasiran,GalNAc_siRNA,TRUE,1,0,1,0,1,animal_over_predicts,PH1_patients,rat
OLG022,vutrisiran,GalNAc_siRNA,TRUE,1,0,1,0,1,animal_over_predicts,ATTR_patients,multi_species
OLG041,AON-A_Moisan,ASO_gapmer,FALSE,0,1,1,0,0,concordant,PTEC-TERT1,rat
OLG042,AON-C_Moisan,ASO_gapmer,FALSE,0,2,1,2,3,animal_over_predicts,PTEC-TERT1,rat
OLG043,AON-D_Moisan,ASO_gapmer,FALSE,0,1,1,1,1,concordant,PTEC-TERT1,rat
OLG045,RocheNTX_Cmpd1-1,ASO_gapmer,TRUE,0,16,1,0,0,concordant,PTEC-TERT1;primary_human_PTEC,rat
OLG047,RocheNTX_Cmpd3-1,ASO_gapmer,TRUE,0,16,1,3,2,animal_under_predicts,PTEC-TERT1;primary_human_PTEC,rat
OLG048,RocheNTX_Cmpd4-1,ASO_gapmer,TRUE,0,16,1,3,3,concordant,PTEC-TERT1;primary_human_PTEC,rat
