molecule,relation,endpoint_a,corpus_a,oligo_id_a,endpoint_b,corpus_b,oligo_id_b,sequence_check
eteplirsen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG016,chronic-neurotoxicity,cns,CNS273,one_side_TBD
givosiran,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG003,chronic-neurotoxicity,cns,CNS274,one_side_TBD
golodirsen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG011,chronic-neurotoxicity,cns,CNS275,sequences_agree
inclisiran,replicated_same_id,chronic-neurotoxicity,cns,CNS276,hydrocephalus,cns,CNS276,same_record
inclisiran,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG007,chronic-neurotoxicity|hydrocephalus,cns,CNS276,one_side_TBD
inotersen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG001,chronic-neurotoxicity,cns,CNS277,sequences_agree
lumasiran,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG020,chronic-neurotoxicity,cns,CNS278,one_side_TBD
mipomersen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG006,chronic-neurotoxicity,cns,CNS283,one_side_TBD
nedosiran,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG021,chronic-neurotoxicity,cns,CNS279,one_side_TBD
nusinersen,replicated_same_id,chronic-neurotoxicity,cns,CNS012,hydrocephalus,cns,CNS012,same_record
nusinersen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG004,chronic-neurotoxicity|hydrocephalus,cns,CNS012,sequences_agree
patisiran,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG019,chronic-neurotoxicity,cns,CNS280,one_side_TBD
tofersen,replicated_same_id,chronic-neurotoxicity,cns,CNS013,hydrocephalus,cns,CNS013,same_record
tofersen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG017,chronic-neurotoxicity|hydrocephalus,cns,CNS013,sequences_agree
tominersen,replicated_same_id,chronic-neurotoxicity,cns,CNS014,hydrocephalus,cns,CNS014,same_record
valeriasen,replicated_same_id,chronic-neurotoxicity,cns,CNS286,hydrocephalus,cns,CNS286,same_record
viltolarsen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG013,chronic-neurotoxicity,cns,CNS284,one_side_TBD
volanesorsen,same_molecule_different_id,kidney-nephrotoxicity,kidney,OLG005,chronic-neurotoxicity,cns,CNS285,one_side_TBD
